"","gene 1","gene 2","gene 3","gene 4","gene 5","gene 6","gene 7","gene 8","gene 9","gene 10","gene 11","gene 12","gene 13","gene 14","gene 15","gene 16","gene 17","gene 18","gene 19","gene 20","gene 21","gene 22","gene 23","gene 24","gene 25","gene 26","gene 27","gene 28","gene 29","gene 30","gene 31","gene 32","gene 33","gene 34","gene 35","gene 36","gene 37","gene 38","gene 39","gene 40","gene 41","gene 42","gene 43","gene 44","gene 45","gene 46","gene 47","gene 48","gene 49","gene 50","gene 51","gene 52","gene 53","gene 54","gene 55","gene 56","gene 57","gene 58","gene 59","gene 60","gene 61","gene 62","gene 63","gene 64","gene 65","gene 66","gene 67","gene 68","gene 69","gene 70","gene 71","gene 72","gene 73","gene 74","gene 75","gene 76","gene 77","gene 78","gene 79","gene 80","gene 81","gene 82","gene 83","gene 84","gene 85","gene 86","gene 87","gene 88","gene 89","gene 90","gene 91","gene 92","gene 93","gene 94","gene 95","gene 96","gene 97","gene 98","gene 99","gene 100"
"spot 1",1,0,1,0,0,0,0,0,1,0,3,2,3,0,5,0,5,6,0,3,0,0,1,0,0,3,2,2,2,2,16,3,0,5,1,0,0,5,8,0,2,4,4,3,1,1,0,7,3,0,6,0,1,5,6,14,3,3,5,6,15,2,10,0,6,7,1,4,6,3,5,0,7,0,1,5,0,8,0,0,3,4,8,0,7,2,5,2,2,0,2,7,4,0,0,0,2,0,2,2
"spot 2",0,1,0,0,1,0,0,2,0,0,12,0,5,4,7,5,0,7,0,5,0,7,6,0,5,3,0,2,4,0,15,10,0,7,6,2,6,0,0,0,3,3,3,11,9,0,13,6,0,9,0,4,5,0,8,15,3,3,0,0,34,6,6,0,3,0,1,0,0,25,7,0,11,0,2,8,4,2,5,6,6,9,0,0,0,4,0,4,5,7,10,10,4,6,0,0,1,0,4,6
"spot 3",1,0,3,4,0,0,4,0,3,0,0,0,13,0,0,0,21,33,30,15,31,0,16,8,27,19,16,0,16,0,59,29,24,23,0,0,19,0,19,0,5,0,36,0,14,19,30,17,13,44,26,14,12,9,48,60,13,12,12,15,60,31,36,29,23,24,7,70,0,0,0,0,0,8,0,14,15,20,0,14,0,9,20,0,0,13,0,13,23,16,6,0,32,0,34,22,21,25,11,14
"spot 4",0,1,0,1,0,0,0,1,0,2,2,1,0,0,13,0,0,0,28,0,0,16,10,4,4,9,14,4,7,10,18,9,8,0,0,9,11,0,18,18,8,7,0,16,0,7,5,16,6,14,2,9,3,0,0,39,6,6,8,7,21,17,21,0,0,0,0,15,13,23,0,0,15,0,0,13,11,0,7,6,0,0,11,5,7,14,16,1,0,11,7,13,5,8,0,8,4,3,2,0
"spot 5",0,0,1,1,0,0,0,0,0,1,15,5,5,0,12,0,11,0,8,0,12,10,5,1,14,0,11,5,1,8,11,0,0,0,0,2,0,0,7,8,9,5,11,0,4,6,12,15,7,12,0,0,6,3,6,24,4,0,13,2,16,0,7,7,5,0,1,10,4,24,4,3,0,7,6,0,0,8,7,2,0,0,13,0,7,15,0,8,6,0,0,0,16,10,17,3,0,4,4,5
"spot 6",1,0,1,0,0,0,2,0,0,0,0,0,11,2,8,10,1,10,12,3,8,10,7,3,4,2,3,0,3,8,0,3,0,4,2,6,0,6,13,0,5,0,0,2,4,5,5,11,4,10,0,2,6,0,16,0,9,5,0,4,15,3,0,0,1,4,2,9,10,35,0,0,4,3,5,6,0,7,0,0,0,0,7,2,0,6,0,0,3,2,5,7,0,5,7,15,5,4,1,0
"spot 7",1,4,0,2,0,0,1,5,1,1,12,9,0,0,0,0,5,20,0,18,16,11,8,0,0,10,13,4,4,16,23,0,21,6,0,7,5,6,19,14,0,9,4,0,1,6,12,11,0,14,13,7,0,0,9,19,0,0,0,10,30,4,16,7,2,0,4,23,12,0,7,9,0,9,6,0,0,8,0,9,8,13,13,6,8,7,10,5,12,7,6,11,22,8,0,11,10,5,8,8
"spot 8",0,1,0,2,0,1,1,0,0,0,0,14,9,0,12,0,4,10,7,0,0,8,0,3,7,0,8,3,3,5,27,4,6,0,3,0,0,5,17,8,10,0,0,5,2,3,0,17,0,10,10,0,0,6,17,35,0,5,0,10,28,4,14,4,0,11,0,0,0,0,9,11,18,0,5,0,4,0,9,7,4,0,0,1,0,7,15,9,18,11,6,23,10,0,19,7,1,8,1,0
"spot 9",0,2,2,5,1,1,2,3,2,7,0,22,11,8,41,13,18,0,24,18,0,13,0,9,13,9,16,5,11,0,31,20,17,16,0,12,0,0,20,23,0,19,0,17,6,6,11,26,16,20,23,10,24,0,17,0,18,12,22,17,58,15,15,10,0,16,0,0,15,31,0,9,18,13,4,23,19,11,11,5,12,0,24,8,24,0,39,24,10,13,6,20,13,18,0,10,7,8,8,12
"spot 10",1,0,0,8,4,2,0,0,0,2,33,18,9,0,25,10,10,22,13,0,13,8,24,6,10,0,9,4,0,13,0,11,8,14,6,10,11,6,0,0,6,12,13,0,18,6,19,21,12,26,14,8,0,12,34,31,0,9,7,0,40,11,13,15,0,0,3,0,15,21,0,4,0,8,0,0,11,10,10,8,8,11,32,8,18,17,0,8,14,0,9,0,0,15,46,0,5,10,7,0
"spot 11",5,0,3,15,6,0,4,5,4,5,38,0,11,0,0,22,14,42,0,18,0,0,0,6,0,13,0,10,11,25,34,17,25,38,12,12,14,27,0,11,0,0,0,19,0,0,0,46,18,29,27,11,25,13,22,61,21,3,24,0,81,17,0,36,0,0,8,0,24,69,18,12,0,10,7,20,0,0,25,0,0,11,0,0,0,22,32,17,0,11,0,0,27,22,0,36,13,7,13,15
"spot 12",0,2,1,4,0,1,6,2,0,0,0,10,0,0,13,9,0,13,14,8,3,12,7,6,0,14,8,7,6,10,0,3,10,11,0,4,3,0,0,0,1,0,0,10,7,2,0,20,8,12,3,5,9,0,15,0,0,9,0,8,0,6,9,0,0,13,0,21,0,42,9,0,0,0,0,17,6,3,3,0,0,3,13,0,9,4,8,7,0,9,7,17,18,0,0,23,0,8,5,1
"spot 13",0,0,0,2,5,0,10,0,1,0,17,14,0,0,22,0,11,18,26,9,16,18,0,5,18,7,0,9,0,9,0,6,15,10,8,0,9,13,0,0,10,15,0,0,0,6,20,17,0,20,26,0,12,14,24,62,0,0,14,13,36,21,15,0,0,11,4,0,0,53,0,8,23,12,8,10,0,13,13,11,10,10,41,0,0,23,0,8,8,0,11,40,37,0,0,30,5,3,10,2
"spot 14",0,3,1,2,2,1,2,4,2,5,0,11,8,7,14,7,7,20,13,5,9,0,11,2,14,6,0,3,0,0,0,0,0,7,0,7,0,0,13,10,10,0,13,10,6,0,8,0,8,21,1,0,4,0,15,8,10,7,15,15,27,13,9,8,3,10,0,19,7,13,18,7,12,3,0,15,2,17,4,0,4,0,16,4,0,13,10,8,9,4,3,10,16,12,16,13,3,8,0,9
"spot 15",0,0,0,3,1,3,1,0,1,0,12,10,1,3,0,5,0,12,4,5,0,5,0,3,0,3,4,4,0,9,0,4,9,0,0,2,4,7,12,0,8,4,9,4,2,2,0,4,5,16,8,0,6,0,0,14,2,0,13,10,24,3,13,10,2,0,3,0,7,9,0,0,5,6,0,0,5,6,5,0,0,3,0,0,2,3,5,2,7,6,4,0,0,0,0,3,4,2,0,0
