"method","jaccard"
"HEARTSVG-Inter",0.746389108293885
"HEARTSVG-Inter",0.790868773168488
"HEARTSVG-Inter",0.786432207784191
"HEARTSVG-Inter",0.799819983013196
"HEARTSVG-Inter",0.810791033298311
"HEARTSVG-Inter",0.795827801904363
"HEARTSVG-Inter",0.788891489960085
"HEARTSVG-Inter",0.817590938900961
"HEARTSVG-Inter",0.785619659665203
"HEARTSVG-Inter",0.798930060948769
"HEARTSVG-Inter",0.794114212415425
"HEARTSVG-Inter",0.78762382116939
"HEARTSVG-Inter",0.765979899684183
"HEARTSVG-Inter",0.795104268928405
"HEARTSVG-Inter",0.801707770102894
"HEARTSVG-Inter",0.79075148408736
"HEARTSVG-Inter",0.7796926249713
"HEARTSVG-Inter",0.789644234570121
"HEARTSVG-Inter",0.80332013514663
"HEARTSVG-Inter",0.786052720517857
"HEARTSVG-Inter",0.803690930977706
"HEARTSVG-Inter",0.767093586132923
"HEARTSVG-Inter",0.776448453577306
"HEARTSVG-Inter",0.826191397712428
"HEARTSVG-Inter",0.781840778568661
"HEARTSVG-Inter",0.800697496848163
"HEARTSVG-Inter",0.789335404505211
"HEARTSVG-Inter",0.788384691277803
"HEARTSVG-Inter",0.818071165107571
"HEARTSVG-Inter",0.777773663009625
"HEARTSVG-Inter",0.776291516129118
"HEARTSVG-Inter",0.747568883850721
"HEARTSVG-Inter",0.777682076190538
"HEARTSVG-Inter",0.77634381543219
"HEARTSVG-Inter",0.779111702347442
"HEARTSVG-Inter",0.805950587120782
"HEARTSVG-Inter",0.777719310944735
"HEARTSVG-Inter",0.773296156144382
"HEARTSVG-Inter",0.782869960511821
"HEARTSVG-Inter",0.770227045472851
"HEARTSVG-Inter",0.805904033003565
"HEARTSVG-Inter",0.804015585378823
"HEARTSVG-Inter",0.801528339601951
"HEARTSVG-Inter",0.79806559923683
"HEARTSVG-Inter",0.794908191436411
"HEARTSVG-Inter",0.769
"HEARTSVG-Inter",0.776
"HEARTSVG-Inter",0.8
"HEARTSVG-Inter",0.78
"HEARTSVG-Inter",0.798
