"method","jaccard"
"HEARTSVG-PASTE",0.99896425262927
"HEARTSVG-PASTE",0.998436135410065
"HEARTSVG-PASTE",0.999323584923043
"HEARTSVG-PASTE",0.998909337853861
"HEARTSVG-PASTE",0.998281669134876
"HEARTSVG-PASTE",0.999335293164924
"HEARTSVG-PASTE",0.998095906879617
"HEARTSVG-PASTE",0.998722489929542
"HEARTSVG-PASTE",0.998990344293136
"HEARTSVG-PASTE",0.999144758364148
"HEARTSVG-PASTE",0.998281123811983
"HEARTSVG-PASTE",0.99879809514552
"HEARTSVG-PASTE",0.999199585324239
"HEARTSVG-PASTE",0.997997000586679
"HEARTSVG-PASTE",0.998683840763854
"HEARTSVG-PASTE",0.998510265120839
"HEARTSVG-PASTE",0.999015174618877
"HEARTSVG-PASTE",0.999797455178812
"HEARTSVG-PASTE",0.999004386510457
"HEARTSVG-PASTE",0.999078010828224
"HEARTSVG-PASTE",0.999283835365488
"HEARTSVG-PASTE",0.999517807173294
"HEARTSVG-PASTE",0.99795585284908
"HEARTSVG-PASTE",0.999866028078641
"HEARTSVG-PASTE",0.998576589098157
"HEARTSVG-PASTE",0.9988224909875
"HEARTSVG-PASTE",0.998829651710958
"HEARTSVG-PASTE",0.99842391649866
"HEARTSVG-PASTE",0.998973825444063
"HEARTSVG-PASTE",0.998505912636134
"HEARTSVG-PASTE",0.998492884789459
"HEARTSVG-PASTE",0.999161849728984
"HEARTSVG-PASTE",0.998516779428007
"HEARTSVG-PASTE",0.998774015772016
"HEARTSVG-PASTE",0.998881525234528
"HEARTSVG-PASTE",0.998520932378928
"HEARTSVG-PASTE",0.998629367076432
"HEARTSVG-PASTE",0.998137440440358
"HEARTSVG-PASTE",0.997851272961374
"HEARTSVG-PASTE",0.999373714152289
"HEARTSVG-PASTE",0.998697465914716
"HEARTSVG-PASTE",0.99839890155786
"HEARTSVG-PASTE",0.998868541142404
"HEARTSVG-PASTE",0.99879534334143
"HEARTSVG-PASTE",0.998357535168716
"HEARTSVG-PASTE",0.999
"HEARTSVG-PASTE",0.998
"HEARTSVG-PASTE",0.999
"HEARTSVG-PASTE",0.999
"HEARTSVG-PASTE",0.999
