"method","jaccard"
"SPARK-HMP",0.915624579577114
"SPARK-HMP",0.907057391101086
"SPARK-HMP",0.916656049300011
"SPARK-HMP",0.930817458200906
"SPARK-HMP",0.925048567242802
"SPARK-HMP",0.90900616123642
"SPARK-HMP",0.914749963927017
"SPARK-HMP",0.909461404315278
"SPARK-HMP",0.91687759130803
"SPARK-HMP",0.908554306914384
"SPARK-HMP",0.922993881423183
"SPARK-HMP",0.913051454527925
"SPARK-HMP",0.910700560902277
"SPARK-HMP",0.921512880919194
"SPARK-HMP",0.909925478504484
"SPARK-HMP",0.91820505738041
"SPARK-HMP",0.913812146639624
"SPARK-HMP",0.911659357265723
"SPARK-HMP",0.920848699914824
"SPARK-HMP",0.916708209305109
"SPARK-HMP",0.915431788851336
"SPARK-HMP",0.919965620095741
"SPARK-HMP",0.91281829129524
"SPARK-HMP",0.913083916915097
"SPARK-HMP",0.916632965153868
"SPARK-HMP",0.916375937820183
"SPARK-HMP",0.922832112496972
"SPARK-HMP",0.921071426222777
"SPARK-HMP",0.910534904197632
"SPARK-HMP",0.921010622397338
"SPARK-HMP",0.910151466518046
"SPARK-HMP",0.917653050909913
"SPARK-HMP",0.916089172788205
"SPARK-HMP",0.924330724231137
"SPARK-HMP",0.924010649419754
"SPARK-HMP",0.917430087282098
"SPARK-HMP",0.918271497751483
"SPARK-HMP",0.909834463326461
"SPARK-HMP",0.916918347819509
"SPARK-HMP",0.906325482958829
"SPARK-HMP",0.910791046148656
"SPARK-HMP",0.918792098969122
"SPARK-HMP",0.913216340345199
"SPARK-HMP",0.915346407542599
"SPARK-HMP",0.915152367840295
"SPARK-HMP",0.917
"SPARK-HMP",0.911
"SPARK-HMP",0.91
"SPARK-HMP",0.922
"SPARK-HMP",0.917
