"method","jaccard"
"SPARK-Inter",0.899021567825787
"SPARK-Inter",0.915413016859447
"SPARK-Inter",0.858086580762636
"SPARK-Inter",0.87033198000147
"SPARK-Inter",0.906600391126058
"SPARK-Inter",0.899884137556643
"SPARK-Inter",0.903053480667628
"SPARK-Inter",0.878272953434804
"SPARK-Inter",0.900858433731375
"SPARK-Inter",0.905453280331783
"SPARK-Inter",0.90275792591925
"SPARK-Inter",0.896588346257192
"SPARK-Inter",0.878268011194652
"SPARK-Inter",0.894867451151496
"SPARK-Inter",0.868329315227135
"SPARK-Inter",0.87748200033776
"SPARK-Inter",0.880387370105712
"SPARK-Inter",0.890814066023262
"SPARK-Inter",0.910375919001294
"SPARK-Inter",0.895930509809236
"SPARK-Inter",0.870349530305423
"SPARK-Inter",0.900755093236391
"SPARK-Inter",0.896344922357401
"SPARK-Inter",0.880979921421476
"SPARK-Inter",0.876562143819776
"SPARK-Inter",0.90764020487821
"SPARK-Inter",0.863269354414026
"SPARK-Inter",0.884000073507788
"SPARK-Inter",0.889742056886407
"SPARK-Inter",0.895707983852179
"SPARK-Inter",0.939970874294742
"SPARK-Inter",0.905090923897518
"SPARK-Inter",0.906814639896347
"SPARK-Inter",0.922261999008713
"SPARK-Inter",0.915288890511541
"SPARK-Inter",0.892565239539515
"SPARK-Inter",0.886291496081684
"SPARK-Inter",0.88239703719707
"SPARK-Inter",0.893259116333881
"SPARK-Inter",0.887288702267258
"SPARK-Inter",0.891682076604767
"SPARK-Inter",0.911741975482572
"SPARK-Inter",0.90617695613456
"SPARK-Inter",0.880951569112884
"SPARK-Inter",0.893258227791456
"SPARK-Inter",0.912
"SPARK-Inter",0.902
"SPARK-Inter",0.893
"SPARK-Inter",0.876
"SPARK-Inter",0.879
