"method","jaccard"
"SPARK-Union",0.907765254879235
"SPARK-Union",0.887884014811569
"SPARK-Union",0.904346428044618
"SPARK-Union",0.909816266951521
"SPARK-Union",0.902047871893949
"SPARK-Union",0.903801179049022
"SPARK-Union",0.893064726048408
"SPARK-Union",0.90183264848191
"SPARK-Union",0.901016593634113
"SPARK-Union",0.893423525947305
"SPARK-Union",0.910248048307874
"SPARK-Union",0.907544335644705
"SPARK-Union",0.886840045497857
"SPARK-Union",0.900110084552391
"SPARK-Union",0.904832857830012
"SPARK-Union",0.916956508146612
"SPARK-Union",0.898799471946562
"SPARK-Union",0.899624881708866
"SPARK-Union",0.913861155070922
"SPARK-Union",0.889995871366668
"SPARK-Union",0.898563467127223
"SPARK-Union",0.911944312494153
"SPARK-Union",0.909223308254884
"SPARK-Union",0.88087298386754
"SPARK-Union",0.909812690413491
"SPARK-Union",0.907043949850385
"SPARK-Union",0.897524576049703
"SPARK-Union",0.906098716017869
"SPARK-Union",0.899839895268728
"SPARK-Union",0.900671030858141
"SPARK-Union",0.891895667807408
"SPARK-Union",0.904065200400136
"SPARK-Union",0.91396025952907
"SPARK-Union",0.896799179712544
"SPARK-Union",0.907019761876785
"SPARK-Union",0.882143771616909
"SPARK-Union",0.90517652380578
"SPARK-Union",0.904661673349478
"SPARK-Union",0.884544035841564
"SPARK-Union",0.890566296676451
"SPARK-Union",0.904400732672297
"SPARK-Union",0.902533140935488
"SPARK-Union",0.902089819911437
"SPARK-Union",0.883059730816352
"SPARK-Union",0.903018418540387
"SPARK-Union",0.885
"SPARK-Union",0.905
"SPARK-Union",0.905
"SPARK-Union",0.91
"SPARK-Union",0.9
