"method","jaccard"
"SPARKX-HMP",0.954874999904713
"SPARKX-HMP",0.944637900829547
"SPARKX-HMP",0.940584333142374
"SPARKX-HMP",0.946655395159819
"SPARKX-HMP",0.965083804617443
"SPARKX-HMP",0.955579081621548
"SPARKX-HMP",0.952109018972867
"SPARKX-HMP",0.959979731369648
"SPARKX-HMP",0.944632659750908
"SPARKX-HMP",0.951484710590398
"SPARKX-HMP",0.94722102918405
"SPARKX-HMP",0.945198873790602
"SPARKX-HMP",0.944512989722044
"SPARKX-HMP",0.954913498887098
"SPARKX-HMP",0.945287099424849
"SPARKX-HMP",0.950099584569289
"SPARKX-HMP",0.944922023963752
"SPARKX-HMP",0.953594784641293
"SPARKX-HMP",0.952683061190149
"SPARKX-HMP",0.954929794882716
"SPARKX-HMP",0.941183802891964
"SPARKX-HMP",0.960855116819877
"SPARKX-HMP",0.941419224522745
"SPARKX-HMP",0.946360396806183
"SPARKX-HMP",0.95541520255604
"SPARKX-HMP",0.933069555867658
"SPARKX-HMP",0.942139001128493
"SPARKX-HMP",0.947652611898965
"SPARKX-HMP",0.941478017830132
"SPARKX-HMP",0.951990188363273
"SPARKX-HMP",0.954740595782932
"SPARKX-HMP",0.951610451157815
"SPARKX-HMP",0.952853112914971
"SPARKX-HMP",0.955142433883478
"SPARKX-HMP",0.956210650105227
"SPARKX-HMP",0.95712908295863
"SPARKX-HMP",0.950100861513483
"SPARKX-HMP",0.950234034877854
"SPARKX-HMP",0.952479564322307
"SPARKX-HMP",0.957428032016556
"SPARKX-HMP",0.946068524732331
"SPARKX-HMP",0.954933276518943
"SPARKX-HMP",0.952756590858443
"SPARKX-HMP",0.95305440977734
"SPARKX-HMP",0.950740929319487
"SPARKX-HMP",0.948
"SPARKX-HMP",0.948
"SPARKX-HMP",0.957
"SPARKX-HMP",0.95
"SPARKX-HMP",0.94
