"method","jaccard"
"SPARKX-Inter",0.87834526635253
"SPARKX-Inter",0.852941829377235
"SPARKX-Inter",0.8525839357216
"SPARKX-Inter",0.864001793437027
"SPARKX-Inter",0.840790125066835
"SPARKX-Inter",0.842166648466143
"SPARKX-Inter",0.837250419929696
"SPARKX-Inter",0.835519276328241
"SPARKX-Inter",0.89345790643717
"SPARKX-Inter",0.85545730284363
"SPARKX-Inter",0.863463588849085
"SPARKX-Inter",0.865836283659385
"SPARKX-Inter",0.834289428332465
"SPARKX-Inter",0.828620116708074
"SPARKX-Inter",0.848509412249168
"SPARKX-Inter",0.825296706148848
"SPARKX-Inter",0.847011528815756
"SPARKX-Inter",0.84287028248446
"SPARKX-Inter",0.866664539398498
"SPARKX-Inter",0.847490362474045
"SPARKX-Inter",0.837858607650432
"SPARKX-Inter",0.833244624592955
"SPARKX-Inter",0.839779737284111
"SPARKX-Inter",0.862272748193056
"SPARKX-Inter",0.818254382002761
"SPARKX-Inter",0.83419186620552
"SPARKX-Inter",0.839312835219553
"SPARKX-Inter",0.857987672337271
"SPARKX-Inter",0.835027607763704
"SPARKX-Inter",0.842487942676152
"SPARKX-Inter",0.844232542912747
"SPARKX-Inter",0.851279914829468
"SPARKX-Inter",0.855596730338266
"SPARKX-Inter",0.836134733602839
"SPARKX-Inter",0.853129256586808
"SPARKX-Inter",0.847580587117142
"SPARKX-Inter",0.874968188274158
"SPARKX-Inter",0.850615939822773
"SPARKX-Inter",0.855870328955469
"SPARKX-Inter",0.832134329742861
"SPARKX-Inter",0.822666451623087
"SPARKX-Inter",0.839931349906166
"SPARKX-Inter",0.832818134583034
"SPARKX-Inter",0.824919247567564
"SPARKX-Inter",0.868899371538732
"SPARKX-Inter",0.838
"SPARKX-Inter",0.853
"SPARKX-Inter",0.854
"SPARKX-Inter",0.825
"SPARKX-Inter",0.866
