"method","jaccard"
"nnSVG-Union",0.772043393228559
"nnSVG-Union",0.738449453850459
"nnSVG-Union",0.74873965508933
"nnSVG-Union",0.765783013795075
"nnSVG-Union",0.762218254362237
"nnSVG-Union",0.735418285593598
"nnSVG-Union",0.748763159729276
"nnSVG-Union",0.767898675985238
"nnSVG-Union",0.775531054177986
"nnSVG-Union",0.747873639691234
"nnSVG-Union",0.724849213561441
"nnSVG-Union",0.74077575565194
"nnSVG-Union",0.77215451806286
"nnSVG-Union",0.775029916585135
"nnSVG-Union",0.77999611471566
"nnSVG-Union",0.739715779307107
"nnSVG-Union",0.770712025860961
"nnSVG-Union",0.76541347921283
"nnSVG-Union",0.733314113793168
"nnSVG-Union",0.754657116960968
"nnSVG-Union",0.729560307291569
"nnSVG-Union",0.760650077431558
"nnSVG-Union",0.73866979964249
"nnSVG-Union",0.729896873339069
"nnSVG-Union",0.785070469223031
"nnSVG-Union",0.724359951153864
"nnSVG-Union",0.777054108361756
"nnSVG-Union",0.751625855723537
"nnSVG-Union",0.72758658743322
"nnSVG-Union",0.731775424377489
"nnSVG-Union",0.762869395263163
"nnSVG-Union",0.728714595512717
"nnSVG-Union",0.70654194388547
"nnSVG-Union",0.744540830021798
"nnSVG-Union",0.750426891111446
"nnSVG-Union",0.776905243629719
"nnSVG-Union",0.750917663459282
"nnSVG-Union",0.728094736044175
"nnSVG-Union",0.694389844381084
"nnSVG-Union",0.719506603854697
"nnSVG-Union",0.759928138298131
"nnSVG-Union",0.734515682054163
"nnSVG-Union",0.766587364687055
"nnSVG-Union",0.750755437168865
"nnSVG-Union",0.733317844658796
"nnSVG-Union",0.745
"nnSVG-Union",0.754
"nnSVG-Union",0.762
"nnSVG-Union",0.758
"nnSVG-Union",0.712
