"method","jaccard"
"spVC-Union",0.662826246047057
"spVC-Union",0.669154979739899
"spVC-Union",0.665152243749491
"spVC-Union",0.669833391349558
"spVC-Union",0.674849397850367
"spVC-Union",0.671606254727959
"spVC-Union",0.67528676100275
"spVC-Union",0.665214687571649
"spVC-Union",0.663283004152567
"spVC-Union",0.670983498775372
"spVC-Union",0.670230199383492
"spVC-Union",0.666814361005658
"spVC-Union",0.666515632405434
"spVC-Union",0.670850952289158
"spVC-Union",0.676875911631124
"spVC-Union",0.668611002065148
"spVC-Union",0.670651355219792
"spVC-Union",0.669828430073901
"spVC-Union",0.663842072542689
"spVC-Union",0.669466138434389
"spVC-Union",0.669931045873314
"spVC-Union",0.671795827095445
"spVC-Union",0.668815276147177
"spVC-Union",0.672722459621829
"spVC-Union",0.668984459818427
"spVC-Union",0.664272615108114
"spVC-Union",0.664419785756441
"spVC-Union",0.668521836369328
"spVC-Union",0.662774498605181
"spVC-Union",0.663665821468108
"spVC-Union",0.665426568632391
"spVC-Union",0.669326974403604
"spVC-Union",0.662130105909367
"spVC-Union",0.663979992137984
"spVC-Union",0.669038358661749
"spVC-Union",0.667098850365219
"spVC-Union",0.669969556633509
"spVC-Union",0.665987846145224
"spVC-Union",0.657950111649563
"spVC-Union",0.66898332266642
"spVC-Union",0.668439231821481
"spVC-Union",0.662179574507936
"spVC-Union",0.664796780352628
"spVC-Union",0.667490455860937
"spVC-Union",0.668959500107885
"spVC-Union",0.669
"spVC-Union",0.669
"spVC-Union",0.671
"spVC-Union",0.666
"spVC-Union",0.661
