"method","jaccard"
"SPARK-HMP",0.915701704715262
"SPARK-HMP",0.911108789890527
"SPARK-HMP",0.898165007142174
"SPARK-HMP",0.890649297799949
"SPARK-HMP",0.898551957410668
"SPARK-HMP",0.89551492143747
"SPARK-HMP",0.895679015762607
"SPARK-HMP",0.897613428901299
"SPARK-HMP",0.903675298692136
"SPARK-HMP",0.903961077442928
"SPARK-HMP",0.914490183611664
"SPARK-HMP",0.886768102199472
"SPARK-HMP",0.910728502866694
"SPARK-HMP",0.894974104455609
"SPARK-HMP",0.904355219583513
"SPARK-HMP",0.901329375444948
"SPARK-HMP",0.914028813431365
"SPARK-HMP",0.906852079106929
"SPARK-HMP",0.907791419637585
"SPARK-HMP",0.900781769237174
"SPARK-HMP",0.905949211042904
"SPARK-HMP",0.908622808079734
"SPARK-HMP",0.888296681264209
"SPARK-HMP",0.888920767868573
"SPARK-HMP",0.911931563964151
"SPARK-HMP",0.907774603957559
"SPARK-HMP",0.888694687525753
"SPARK-HMP",0.884721387724946
"SPARK-HMP",0.903019253594963
"SPARK-HMP",0.886908188823439
"SPARK-HMP",0.908869972246701
"SPARK-HMP",0.886725732827235
"SPARK-HMP",0.893573447344785
"SPARK-HMP",0.903973974913891
"SPARK-HMP",0.907017334191385
"SPARK-HMP",0.901208105559666
"SPARK-HMP",0.886487742686135
"SPARK-HMP",0.899957219795963
"SPARK-HMP",0.904986528457987
"SPARK-HMP",0.901562196576773
"SPARK-HMP",0.885177325476155
"SPARK-HMP",0.908060939600353
"SPARK-HMP",0.901618971858902
"SPARK-HMP",0.921437725771222
"SPARK-HMP",0.900162114379711
"SPARK-HMP",0.883208669181502
"SPARK-HMP",0.893003880755108
"SPARK-HMP",0.888
"SPARK-HMP",0.908
"SPARK-HMP",0.905
