"method","jaccard"
"SPARK-Union",0.885416327148262
"SPARK-Union",0.884793438855259
"SPARK-Union",0.895656657633976
"SPARK-Union",0.877692985631445
"SPARK-Union",0.89430528926827
"SPARK-Union",0.88968463308033
"SPARK-Union",0.90127388019507
"SPARK-Union",0.902496709219716
"SPARK-Union",0.905784421485151
"SPARK-Union",0.88238341808921
"SPARK-Union",0.900908377880553
"SPARK-Union",0.897041056332152
"SPARK-Union",0.886761015442352
"SPARK-Union",0.893459158527054
"SPARK-Union",0.889683966708168
"SPARK-Union",0.90594035788949
"SPARK-Union",0.891579202616727
"SPARK-Union",0.879864334011603
"SPARK-Union",0.898995896041591
"SPARK-Union",0.890537457411165
"SPARK-Union",0.869113899270929
"SPARK-Union",0.883898980446117
"SPARK-Union",0.913491469081008
"SPARK-Union",0.897081650258112
"SPARK-Union",0.897523504175754
"SPARK-Union",0.889742264272229
"SPARK-Union",0.899734404497291
"SPARK-Union",0.874592764604117
"SPARK-Union",0.878447536223137
"SPARK-Union",0.870625483481651
"SPARK-Union",0.894648537515895
"SPARK-Union",0.908860904332234
"SPARK-Union",0.878649925383207
"SPARK-Union",0.886656365104321
"SPARK-Union",0.897543459952466
"SPARK-Union",0.909766421184465
"SPARK-Union",0.891604765862277
"SPARK-Union",0.901964573976244
"SPARK-Union",0.892807585917459
"SPARK-Union",0.898599098313867
"SPARK-Union",0.893671397179126
"SPARK-Union",0.89398839716184
"SPARK-Union",0.872102856750809
"SPARK-Union",0.878297304826479
"SPARK-Union",0.89351853302486
"SPARK-Union",0.892868297389132
"SPARK-Union",0.883628480810831
"SPARK-Union",0.886
"SPARK-Union",0.904
"SPARK-Union",0.888
