"method","jaccard"
"spVC-PASTE",0.645281581460049
"spVC-PASTE",0.597089366967237
"spVC-PASTE",0.584318069521319
"spVC-PASTE",0.747187827932002
"spVC-PASTE",0.747780521999066
"spVC-PASTE",0.675268191896886
"spVC-PASTE",0.59712109328981
"spVC-PASTE",0.659920156370367
"spVC-PASTE",0.754179518979511
"spVC-PASTE",0.557962516603157
"spVC-PASTE",0.614143790441691
"spVC-PASTE",0.644851289372556
"spVC-PASTE",0.641110150620814
"spVC-PASTE",0.677254555678406
"spVC-PASTE",0.601044313117803
"spVC-PASTE",0.707771611880311
"spVC-PASTE",0.637090544625826
"spVC-PASTE",0.535119404538477
"spVC-PASTE",0.668078369807871
"spVC-PASTE",0.643842435632213
"spVC-PASTE",0.6806769525341
"spVC-PASTE",0.596925949443952
"spVC-PASTE",0.709004048262847
"spVC-PASTE",0.569035420999975
"spVC-PASTE",0.591853233328143
"spVC-PASTE",0.571427157847237
"spVC-PASTE",0.610466554202276
"spVC-PASTE",0.60043244955115
"spVC-PASTE",0.704485234286754
"spVC-PASTE",0.644920824904054
"spVC-PASTE",0.639006829006173
"spVC-PASTE",0.598247321934675
"spVC-PASTE",0.631661686147578
"spVC-PASTE",0.566304560777946
"spVC-PASTE",0.599122132500888
"spVC-PASTE",0.654963973623533
"spVC-PASTE",0.72820370632016
"spVC-PASTE",0.69442234281994
"spVC-PASTE",0.625002244479222
"spVC-PASTE",0.622419941810436
"spVC-PASTE",0.659078233060645
"spVC-PASTE",0.601420264425112
"spVC-PASTE",0.662949001105987
"spVC-PASTE",0.591246358943351
"spVC-PASTE",0.657017987699363
"spVC-PASTE",0.661148306964008
"spVC-PASTE",0.586931351565105
"spVC-PASTE",0.624
"spVC-PASTE",0.709
"spVC-PASTE",0.61
