"method","jaccard"
"GASTON-PASTE",0.0218945264786226
"GASTON-PASTE",0.0450007939709473
"GASTON-PASTE",0.10363919055521
"GASTON-PASTE",0
"GASTON-PASTE",0.164216588658634
"GASTON-PASTE",0.0740110081465055
"GASTON-PASTE",0.187868272634457
"GASTON-PASTE",0.107878412558697
"GASTON-PASTE",0.0681121138874365
"GASTON-PASTE",0.0384275371732909
"GASTON-PASTE",0
"GASTON-PASTE",0.207321081886913
"GASTON-PASTE",0.0324297152179409
"GASTON-PASTE",0.11973313886728
"GASTON-PASTE",0.0421312343778596
"GASTON-PASTE",0
"GASTON-PASTE",0.0652619612053104
"GASTON-PASTE",0.0473251926825914
"GASTON-PASTE",0
"GASTON-PASTE",0.0702269585931643
"GASTON-PASTE",0.0563387687620317
"GASTON-PASTE",0.0959760178968966
"GASTON-PASTE",0.193452399876751
"GASTON-PASTE",0.124032984326179
"GASTON-PASTE",0.0780071146774164
"GASTON-PASTE",0.0116151633409416
"GASTON-PASTE",0.229954552785494
"GASTON-PASTE",0.0979140232721655
"GASTON-PASTE",0.145846330442342
"GASTON-PASTE",0
"GASTON-PASTE",0.148657792508118
"GASTON-PASTE",0.0945179365643379
"GASTON-PASTE",0.027818338264226
"GASTON-PASTE",0
"GASTON-PASTE",0
"GASTON-PASTE",0.107636584213841
"GASTON-PASTE",0.0540948716283416
"GASTON-PASTE",0.170405532098025
"GASTON-PASTE",0.00890808987656445
"GASTON-PASTE",0.0715939324812654
"GASTON-PASTE",0.134744758667545
"GASTON-PASTE",0.164147276200991
"GASTON-PASTE",0.0718014799936626
"GASTON-PASTE",0.137762078386274
"GASTON-PASTE",0.158372003447357
"GASTON-PASTE",0.0910595737207453
"GASTON-PASTE",0.042
"GASTON-PASTE",0
"GASTON-PASTE",0.072
"GASTON-PASTE",0.154
