"method","jaccard"
"GASTON-Union",0.898356657961772
"GASTON-Union",0.938939928155833
"GASTON-Union",0.844028924656845
"GASTON-Union",0.898327137211033
"GASTON-Union",0.834384738914675
"GASTON-Union",0.813987414604613
"GASTON-Union",0.803780001258887
"GASTON-Union",0.831544222307862
"GASTON-Union",0.852831467892155
"GASTON-Union",0.808521028730945
"GASTON-Union",0.876901289062108
"GASTON-Union",0.803310898118421
"GASTON-Union",0.874381598619834
"GASTON-Union",0.87126117987425
"GASTON-Union",0.785470655876314
"GASTON-Union",0.863647713189817
"GASTON-Union",0.798084407967666
"GASTON-Union",0.882107562597212
"GASTON-Union",0.852015559553223
"GASTON-Union",0.898342947758442
"GASTON-Union",0.806477821448605
"GASTON-Union",0.897914778639921
"GASTON-Union",0.922838041840397
"GASTON-Union",0.794030064927055
"GASTON-Union",0.88560622653782
"GASTON-Union",0.868274506675859
"GASTON-Union",0.805254692733044
"GASTON-Union",0.83803253910938
"GASTON-Union",0.826744095997679
"GASTON-Union",0.86720809624032
"GASTON-Union",0.874800540572222
"GASTON-Union",0.853135436114798
"GASTON-Union",0.811539499699481
"GASTON-Union",0.791957698139606
"GASTON-Union",0.899637820371938
"GASTON-Union",0.845128717685401
"GASTON-Union",0.850764889316976
"GASTON-Union",0.852439628360162
"GASTON-Union",0.805160889978485
"GASTON-Union",0.823043771954364
"GASTON-Union",0.898821227978206
"GASTON-Union",0.926791960713018
"GASTON-Union",0.853599448821546
"GASTON-Union",0.866330583912226
"GASTON-Union",0.84505642093321
"GASTON-Union",0.863340575313817
"GASTON-Union",0.89
"GASTON-Union",0.81
"GASTON-Union",0.865
"GASTON-Union",0.82
