"method","jaccard"
"SPARK-HMP",0.957866745034624
"SPARK-HMP",0.957615035554326
"SPARK-HMP",0.961591286158761
"SPARK-HMP",0.957402740969638
"SPARK-HMP",0.958465658111269
"SPARK-HMP",0.951158719828808
"SPARK-HMP",0.954918514909423
"SPARK-HMP",0.962225119855638
"SPARK-HMP",0.95545039854918
"SPARK-HMP",0.963980685579662
"SPARK-HMP",0.94994837712375
"SPARK-HMP",0.960670756087995
"SPARK-HMP",0.959904627096725
"SPARK-HMP",0.953885694514483
"SPARK-HMP",0.95928584529627
"SPARK-HMP",0.958847751818668
"SPARK-HMP",0.95878394234892
"SPARK-HMP",0.955859188123459
"SPARK-HMP",0.971935688485727
"SPARK-HMP",0.961350806578887
"SPARK-HMP",0.951164683226836
"SPARK-HMP",0.966598197235273
"SPARK-HMP",0.953674199510214
"SPARK-HMP",0.959797006035774
"SPARK-HMP",0.956066820228968
"SPARK-HMP",0.955350795340949
"SPARK-HMP",0.954067431996969
"SPARK-HMP",0.960468271942155
"SPARK-HMP",0.960111950158399
"SPARK-HMP",0.953269086608397
"SPARK-HMP",0.959326460949234
"SPARK-HMP",0.965598994455589
"SPARK-HMP",0.963378867223727
"SPARK-HMP",0.955241558650758
"SPARK-HMP",0.956729700809367
"SPARK-HMP",0.95722796194348
"SPARK-HMP",0.964282924438095
"SPARK-HMP",0.960832987868959
"SPARK-HMP",0.96536226624338
"SPARK-HMP",0.946300876870721
"SPARK-HMP",0.96060277073762
"SPARK-HMP",0.963896221678612
"SPARK-HMP",0.953873149642839
"SPARK-HMP",0.970167426348735
"SPARK-HMP",0.959525592571847
"SPARK-HMP",0.954227028302389
"SPARK-HMP",0.962333333333333
"SPARK-HMP",0.955666666666667
"SPARK-HMP",0.953
"SPARK-HMP",0.963666666666667
