"method","jaccard"
"SPARK-Inter",0.96827591643247
"SPARK-Inter",0.95718137985868
"SPARK-Inter",0.952988534139537
"SPARK-Inter",0.983180926236333
"SPARK-Inter",0.988482519186913
"SPARK-Inter",0.970925948584054
"SPARK-Inter",0.968404454501271
"SPARK-Inter",0.961630824678941
"SPARK-Inter",0.962291590820098
"SPARK-Inter",0.959467705204072
"SPARK-Inter",0.961152710533434
"SPARK-Inter",0.972365598027074
"SPARK-Inter",0.95810261016161
"SPARK-Inter",0.977017397090911
"SPARK-Inter",0.957049202509579
"SPARK-Inter",0.956954065071735
"SPARK-Inter",0.970043433013205
"SPARK-Inter",0.932620037704362
"SPARK-Inter",0.971808239309904
"SPARK-Inter",0.957451488408239
"SPARK-Inter",0.98064373952063
"SPARK-Inter",0.948771731492124
"SPARK-Inter",0.966454747942246
"SPARK-Inter",0.966396225745396
"SPARK-Inter",0.971463223861235
"SPARK-Inter",0.936761890388903
"SPARK-Inter",0.936634935143607
"SPARK-Inter",0.987390320044771
"SPARK-Inter",0.921688339774442
"SPARK-Inter",0.969332281306797
"SPARK-Inter",0.941148238780903
"SPARK-Inter",0.927738966823938
"SPARK-Inter",0.965462141292202
"SPARK-Inter",0.966301041680659
"SPARK-Inter",0.981689564914241
"SPARK-Inter",0.980330274279679
"SPARK-Inter",0.981761564535038
"SPARK-Inter",0.975535785804486
"SPARK-Inter",0.966045029085689
"SPARK-Inter",0.962775806101229
"SPARK-Inter",0.950726772882456
"SPARK-Inter",0.972395743319126
"SPARK-Inter",0.968694736849697
"SPARK-Inter",0.976613573392278
"SPARK-Inter",0.954447932268472
"SPARK-Inter",0.973998336461035
"SPARK-Inter",0.967666666666667
"SPARK-Inter",0.945
"SPARK-Inter",0.977
"SPARK-Inter",0.967333333333333
