"method","jaccard"
"StarTrail-PASTE",0.350975284773814
"StarTrail-PASTE",0.259135055985224
"StarTrail-PASTE",0.295279499207843
"StarTrail-PASTE",0.373600391889368
"StarTrail-PASTE",0.201249580950808
"StarTrail-PASTE",0.343903847666045
"StarTrail-PASTE",0.282339000917909
"StarTrail-PASTE",0.312479271519476
"StarTrail-PASTE",0.295203668612886
"StarTrail-PASTE",0.263609740092764
"StarTrail-PASTE",0.227225686253119
"StarTrail-PASTE",0.252602734539457
"StarTrail-PASTE",0.318483318906466
"StarTrail-PASTE",0.20036144458159
"StarTrail-PASTE",0.24751892047853
"StarTrail-PASTE",0.364419340459229
"StarTrail-PASTE",0.226645965186751
"StarTrail-PASTE",0.19536856022712
"StarTrail-PASTE",0.337844690988798
"StarTrail-PASTE",0.27256989956236
"StarTrail-PASTE",0.316867757211877
"StarTrail-PASTE",0.321371721289575
"StarTrail-PASTE",0.27364747508815
"StarTrail-PASTE",0.358797714703618
"StarTrail-PASTE",0.264071232325883
"StarTrail-PASTE",0.29752616580696
"StarTrail-PASTE",0.267444054186612
"StarTrail-PASTE",0.316457460164086
"StarTrail-PASTE",0.302207595858952
"StarTrail-PASTE",0.260992787542929
"StarTrail-PASTE",0.338967938575084
"StarTrail-PASTE",0.25575489030051
"StarTrail-PASTE",0.197433551388665
"StarTrail-PASTE",0.293633915980611
"StarTrail-PASTE",0.343576211916215
"StarTrail-PASTE",0.365705147875167
"StarTrail-PASTE",0.286783998246058
"StarTrail-PASTE",0.242066143786347
"StarTrail-PASTE",0.347374525999959
"StarTrail-PASTE",0.292816511422732
"StarTrail-PASTE",0.241619586115352
"StarTrail-PASTE",0.195594158963921
"StarTrail-PASTE",0.194846986343884
"StarTrail-PASTE",0.276848218528734
"StarTrail-PASTE",0.266510514651032
"StarTrail-PASTE",0.358199264844323
"StarTrail-PASTE",0.349
"StarTrail-PASTE",0.219
"StarTrail-PASTE",0.269
"StarTrail-PASTE",0.293
