"method","jaccard"
"nnSVG-Cauchy",0.821031182994774
"nnSVG-Cauchy",0.816148110989569
"nnSVG-Cauchy",0.820986617331876
"nnSVG-Cauchy",0.814997310882828
"nnSVG-Cauchy",0.81820501597207
"nnSVG-Cauchy",0.821512314035455
"nnSVG-Cauchy",0.810197492019567
"nnSVG-Cauchy",0.816840421203786
"nnSVG-Cauchy",0.815986629683168
"nnSVG-Cauchy",0.817173949699467
"nnSVG-Cauchy",0.826085347597153
"nnSVG-Cauchy",0.820584234405592
"nnSVG-Cauchy",0.811141571399957
"nnSVG-Cauchy",0.809745053281566
"nnSVG-Cauchy",0.823389888355965
"nnSVG-Cauchy",0.82334909636457
"nnSVG-Cauchy",0.820510443717513
"nnSVG-Cauchy",0.820850258441763
"nnSVG-Cauchy",0.817697816392277
"nnSVG-Cauchy",0.815306426838007
"nnSVG-Cauchy",0.81678238658819
"nnSVG-Cauchy",0.828799462642513
"nnSVG-Cauchy",0.806589956723972
"nnSVG-Cauchy",0.814688270393346
"nnSVG-Cauchy",0.820491412773743
"nnSVG-Cauchy",0.821609839896699
"nnSVG-Cauchy",0.819424314372553
"nnSVG-Cauchy",0.801820808339129
"nnSVG-Cauchy",0.818053169291521
"nnSVG-Cauchy",0.819944132383287
"nnSVG-Cauchy",0.814154360300682
"nnSVG-Cauchy",0.813128038230762
"nnSVG-Cauchy",0.816474538980023
"nnSVG-Cauchy",0.814154770498233
"nnSVG-Cauchy",0.828353922574977
"nnSVG-Cauchy",0.806100106617894
"nnSVG-Cauchy",0.822994378130933
"nnSVG-Cauchy",0.809585299078916
"nnSVG-Cauchy",0.821361539528024
"nnSVG-Cauchy",0.821111439173589
"nnSVG-Cauchy",0.814183880823233
"nnSVG-Cauchy",0.809394473459179
"nnSVG-Cauchy",0.814435275058344
"nnSVG-Cauchy",0.807625227890411
"nnSVG-Cauchy",0.821154674366986
"nnSVG-Cauchy",0.804886575772147
"nnSVG-Cauchy",0.822333333333333
"nnSVG-Cauchy",0.81
"nnSVG-Cauchy",0.823666666666667
"nnSVG-Cauchy",0.809666666666667
