"method","jaccard"
"nnSVG-Inter",0.787602181448892
"nnSVG-Inter",0.733074256791955
"nnSVG-Inter",0.784694392454896
"nnSVG-Inter",0.757351324311353
"nnSVG-Inter",0.744834547885269
"nnSVG-Inter",0.760125455386903
"nnSVG-Inter",0.776815070933107
"nnSVG-Inter",0.774167528141164
"nnSVG-Inter",0.749814219648462
"nnSVG-Inter",0.753858008465461
"nnSVG-Inter",0.754718325431134
"nnSVG-Inter",0.741095511999504
"nnSVG-Inter",0.751554804872903
"nnSVG-Inter",0.738886480310341
"nnSVG-Inter",0.786078821800286
"nnSVG-Inter",0.774646631310617
"nnSVG-Inter",0.796093934169341
"nnSVG-Inter",0.779080744976732
"nnSVG-Inter",0.795669618077743
"nnSVG-Inter",0.741768698276702
"nnSVG-Inter",0.799427131853677
"nnSVG-Inter",0.762206583035269
"nnSVG-Inter",0.752892837699178
"nnSVG-Inter",0.71204727997019
"nnSVG-Inter",0.781748830250697
"nnSVG-Inter",0.750178058892358
"nnSVG-Inter",0.770747297048048
"nnSVG-Inter",0.74768301727186
"nnSVG-Inter",0.789422637636845
"nnSVG-Inter",0.75102303385323
"nnSVG-Inter",0.773126968899478
"nnSVG-Inter",0.749157180038236
"nnSVG-Inter",0.760288573715279
"nnSVG-Inter",0.752233717675743
"nnSVG-Inter",0.760602420009006
"nnSVG-Inter",0.773146892507057
"nnSVG-Inter",0.764201818306459
"nnSVG-Inter",0.735916850876783
"nnSVG-Inter",0.762184672199998
"nnSVG-Inter",0.738038279399363
"nnSVG-Inter",0.760940795307334
"nnSVG-Inter",0.776448903998311
"nnSVG-Inter",0.76948293978302
"nnSVG-Inter",0.77098602405635
"nnSVG-Inter",0.744323005670847
"nnSVG-Inter",0.750307543617086
"nnSVG-Inter",0.777
"nnSVG-Inter",0.775666666666667
"nnSVG-Inter",0.731
"nnSVG-Inter",0.771666666666667
