"TPR","FPR","F1"
0.987029265110611,0.00409986426808764,0.975360036409515
1,0.00222222222222222,0.99009900990099
1,0.00244444444444444,0.989119683481701
1,0.002,0.991080277502478
0.998,0.00222222222222222,0.989098116947473
1,0.00444444444444444,0.980392156862745
0.998,0.00488888888888889,0.977473065621939
0.998,0.004,0.981317600786627
1,0.00311111111111111,0.986193293885602
1,0.00422222222222222,0.98135426889107
1,0.00511111111111111,0.977517106549365
1,0.004,0.982318271119843
0.998,0.00177777777777778,0.991062562065541
1,0.00466666666666667,0.979431929480901
1,0.00155555555555556,0.99304865938431
1,0.00266666666666667,0.988142292490119
1,0.00488888888888889,0.978473581213307
0.984,0.000222222222222222,0.990936555891239
0.998,0.00266666666666667,0.987141444114738
1,0.00177777777777778,0.992063492063492
0.966,0.00155555555555556,0.975757575757576
1,0.00333333333333333,0.985221674876847
1,0.00355555555555556,0.984251968503937
1,0.00288888888888889,0.987166831194472
1,0.00444444444444444,0.980392156862745
1,0.004,0.982318271119843
1,0.00288888888888889,0.987166831194472
1,0.00422222222222222,0.98135426889107
0.998,0.00311111111111111,0.985192497532083
1,0.004,0.982318271119843
0.998,0.00466666666666667,0.97843137254902
1,0.00177777777777778,0.992063492063492
0.988,0.00244444444444444,0.983084577114428
0.982,0.00355555555555556,0.975173783515392
0.996,0.00266666666666667,0.986138613861386
0.996,0.002,0.989076464746772
0.998,0.00266666666666667,0.987141444114738
1,0.00422222222222222,0.98135426889107
1,0.00377777777777778,0.983284169124877
0.998,0.00311111111111111,0.985192497532083
1,0.00355555555555556,0.984251968503937
1,0.00266666666666667,0.988142292490119
0.992,0.00155555555555556,0.989032901296112
1,0.004,0.982318271119843
1,0.00444444444444444,0.980392156862745
0.996,0.00266666666666667,0.986138613861386
0.998,0.00155555555555556,0.992047713717694
1,0.00466666666666667,0.979431929480901
1,0.00333333333333333,0.985221674876847
0.992,0.00222222222222222,0.986083499005964
