"TPR","FPR","F1"
0.310445587582039,0.00294074705192092,0.464421765012208
0.258,0.00244444444444444,0.403125
0.294,0.000222222222222222,0.453703703703704
0.404,0.00155555555555556,0.569816643159379
0.314,0.002,0.471471471471471
0.258,0.000888888888888889,0.407582938388626
0.256,0.00133333333333333,0.403785488958991
0.288,0.00111111111111111,0.443759630200308
0.158,0.000666666666666667,0.271477663230241
0.734,0.000888888888888889,0.842709529276693
0.314,0.00155555555555556,0.47289156626506
0.24,0.000888888888888889,0.384615384615385
0.264,0.00133333333333333,0.413793103448276
0.304,0.00111111111111111,0.462709284627093
0.29,0.000666666666666667,0.447530864197531
0.552,0.002,0.703184713375796
0.424,0.000666666666666667,0.593006993006993
0.268,0.000222222222222222,0.422047244094488
0.232,0.000888888888888889,0.374193548387097
0.274,0.000888888888888889,0.427457098283931
0.344,0.00133333333333333,0.507374631268437
0.434,0.00177777777777778,0.598620689655172
0.276,0.000888888888888889,0.429906542056075
0.336,0.000444444444444444,0.501492537313433
0.36,0.000444444444444444,0.527859237536657
0.306,0.000666666666666667,0.466463414634146
0.446,0.002,0.609289617486339
0.272,0.00177777777777778,0.422360248447205
0.322,0.000888888888888889,0.484210526315789
0.398,0.002,0.562146892655367
0.386,0.00133333333333333,0.552217453505007
0.23,0.00177777777777778,0.369181380417336
0.144,0.00111111111111111,0.249566724436742
0.21,0.00222222222222222,0.341463414634146
0.292,0.002,0.445801526717557
0.284,0.00111111111111111,0.438948995363215
0.344,0.00133333333333333,0.507374631268437
0.328,0.000444444444444444,0.492492492492492
0.316,0.00288888888888889,0.470938897168405
0.32,0.000888888888888889,0.481927710843373
0.636,0.002,0.769044740024184
0.106,0.00222222222222222,0.188277087033748
0.266,0.000444444444444444,0.418897637795276
0.236,0.00177777777777778,0.376996805111821
0.42,0.00111111111111111,0.587412587412587
0.31,0.00244444444444444,0.465465465465465
0.216,0.000444444444444444,0.354098360655738
0.36,0.00177777777777778,0.523255813953488
0.344,0.00155555555555556,0.506627393225331
0.134,0.00177777777777778,0.23304347826087
