"TPR","FPR","F1"
0.998213237315466,0.00426410394885337,0.980278949216421
1,0.00266666666666667,0.988142292490119
1,0.00244444444444444,0.989119683481701
1,0.00288888888888889,0.987166831194472
1,0.002,0.991080277502478
0.902,0.00444444444444444,0.928939237899073
0.974,0.00466666666666667,0.966269841269841
0.864,0.00266666666666667,0.915254237288136
1,0.00911111111111111,0.96061479346782
1,0.0113333333333333,0.951474785918173
1,0.00866666666666667,0.962463907603465
0.972,0.00288888888888889,0.972972972972973
0.854,0.00133333333333333,0.915326902465166
0.922,0.00244444444444444,0.948559670781893
1,0.00333333333333333,0.985221674876847
0.994,0.00155555555555556,0.99003984063745
1,0.002,0.991080277502478
1,0.00488888888888889,0.978473581213307
0.986,0.00133333333333333,0.986986986986987
1,0.00177777777777778,0.992063492063492
0.998,0.00422222222222222,0.980353634577603
0.976,0.00333333333333333,0.973080757726819
1,0.00311111111111111,0.986193293885602
1,0.00511111111111111,0.977517106549365
1,0.00577777777777778,0.974658869395711
1,0.00311111111111111,0.986193293885602
1,0.00377777777777778,0.983284169124877
1,0.00422222222222222,0.98135426889107
1,0.00311111111111111,0.986193293885602
0.998,0.00155555555555556,0.992047713717694
1,0.00511111111111111,0.977517106549365
1,0.00311111111111111,0.986193293885602
0.998,0.00355555555555556,0.983251231527093
1,0.00333333333333333,0.985221674876847
1,0.00422222222222222,0.98135426889107
0.996,0.00133333333333333,0.99203187250996
0.998,0.00577777777777778,0.973658536585366
1,0.00377777777777778,0.983284169124877
1,0.00377777777777778,0.983284169124877
1,0.00311111111111111,0.986193293885602
1,0.00555555555555556,0.975609756097561
1,0.00466666666666667,0.979431929480901
0.988,0.000666666666666667,0.990972918756269
1,0.00311111111111111,0.986193293885602
1,0.00466666666666667,0.979431929480901
0.998,0.002,0.990079365079365
0.998,0.00266666666666667,0.987141444114738
1,0.00422222222222222,0.98135426889107
1,0.00355555555555556,0.984251968503937
0.998,0.002,0.990079365079365
