"TPR","FPR","F1"
0.088,0,0.161764705882353
0.166,0,0.284734133790738
0.172,0,0.293515358361775
0.212,0,0.34983498349835
0.046,0,0.0879541108986616
0.146,0,0.254799301919721
0.156,0,0.269896193771626
0.152,0,0.263888888888889
0.19,0,0.319327731092437
0.256,0,0.407643312101911
0.326,0,0.491704374057315
0.466,0,0.635743519781719
0.592,0,0.743718592964824
0.132,0,0.23321554770318
0.242,0,0.389694041867955
0.03,0,0.058252427184466
0.062,0,0.116760828625235
0.144,0,0.251748251748252
0.23,0,0.373983739837398
0.018,0,0.0353634577603143
0.242,0,0.389694041867955
0.168,0,0.287671232876712
0.12,0,0.214285714285714
0.42,0,0.591549295774648
0.086,0,0.158379373848987
0.284,0,0.442367601246106
0.052,0,0.0988593155893536
0.044,0,0.0842911877394636
0.204,0,0.338870431893688
0.434,0,0.605299860529986
0.37,0,0.54014598540146
0.216,0,0.355263157894737
0.14,0,0.245614035087719
0,0,0
0.052,0,0.0988593155893536
0.232,0,0.376623376623377
0.162,0,0.278829604130809
0.628,0,0.771498771498771
0.284,0,0.442367601246106
0.134,0,0.236331569664903
0.28,0,0.4375
0.296,0,0.45679012345679
0.094,0,0.171846435100548
0.136,0,0.23943661971831
0.324,0,0.489425981873112
0.018,0,0.0353634577603143
0.088,0,0.161764705882353
0.09,0,0.165137614678899
0.028,0,0.0544747081712062
0.088,0,0.161764705882353
