"TPR","FPR","F1"
0.997146719623964,0.00586397631721305,0.972862843812322
0.999423799482268,0.00513590643124284,0.97712246571655
1,0.00377777777777778,0.983284169124877
1,0.00533333333333333,0.9765625
1,0.00466666666666672,0.979431929480901
1,0.00422222222222225,0.98135426889107
1,0.00155555555555557,0.99304865938431
1,0.00511111111111112,0.977517106549365
1,0.00533333333333335,0.9765625
1,0.00422222222222219,0.98135426889107
0.996,0.00355555555555556,0.982248520710059
1,0.00488888888888885,0.978473581213307
0.998,0.004,0.981317600786627
1,0.00600000000000009,0.973709834469328
0.988,0.004,0.976284584980237
0.998,0.00444444444444445,0.979391560353287
1,0.00444444444444452,0.980392156862745
1,0.00377777777777775,0.983284169124877
1,0.00466666666666666,0.979431929480901
1,0.00377777777777784,0.983284169124877
1,0.00444444444444444,0.980392156862745
1,0.00577777777777774,0.974658869395712
0.994,0.00422222222222223,0.978346456692913
0.996,0.00377777777777781,0.98128078817734
1,0.00555555555555557,0.975609756097561
0.996,0.004,0.980314960629921
1,0.00333333333333332,0.985221674876847
0.998,0.00400000000000013,0.981317600786627
0.998,0.00355555555555553,0.983251231527094
1,0.00511111111111114,0.977517106549365
1,0.00533333333333333,0.9765625
1,0.00666666666666665,0.970873786407767
1,0.00533333333333324,0.9765625
0.998,0.00511111111111108,0.976516634050881
0.998,0.00400000000000004,0.981317600786627
1,0.00311111111111114,0.986193293885601
1,0.00466666666666669,0.979431929480901
1,0.00644444444444443,0.971817298347911
0.998,0.00311111111111115,0.985192497532083
0.996,0.0051111111111111,0.975514201762978
1,0.00377777777777779,0.983284169124877
0.998,0.00488888888888884,0.977473065621939
0.998,0.00444444444444449,0.979391560353287
0.99,0.00488888888888885,0.973451327433628
1,0.00400000000000001,0.982318271119843
1,0.00377777777777776,0.983284169124877
0.994,0.00444444444444446,0.977384464110128
1,0.00622222222222225,0.972762645914397
1,0.0037777777777778,0.983284169124877
1,0.004,0.982318271119843
