"TPR","FPR","F1"
0,0.469475126731888,0
0.00337286171927655,0.180745882020551,0.00256483018112897
0,0.31437007345722,0
0.00929144022422533,0.311361642999485,0.00487541783325197
0.01,0.231555555555556,0.00646412411118293
0.014,0.237333333333333,0.0088888888888889
0.002,0.453333333333333,0.000787091696182606
0.004,0.385777777777778,0.00178731009830205
0.006,0.389333333333333,0.00266075388026608
0.03,0.0884444444444445,0.0328587075575027
0,0.325111111111111,0
0.002,0.549111111111111,0.000672947510094213
0.014,0.204222222222222,0.00981767180925667
0.008,0.476,0.00302343159486017
0.008,0.437555555555556,0.00323493732308936
0.024,0.218222222222222,0.0160642570281125
0.008,0.194,0.00580973129992738
0.006,0.379111111111111,0.00271616115889543
0.006,0.433333333333333,0.00244598450876478
0.002,0.411111111111111,0.000850701829008933
0.004,0.233555555555556,0.0025756600128783
0.002,0.185111111111111,0.00149925037481259
0.006,0.268444444444444,0.00350672121566336
0.002,0.451333333333333,0.000789889415481833
0.048,0.0202222222222222,0.0780487804878049
0.002,0.128666666666667,0.00185185185185185
0.01,0.460222222222222,0.00388198757763975
0.006,0.159333333333333,0.00491803278688525
0,0.459777777777778,0
0.002,0.492888888888889,0.000735564545788893
0.004,0.274,0.00230547550432277
0.004,0.245111111111111,0.00249221183800623
0.006,0.164444444444444,0.00482703137570395
0.012,0.443555555555556,0.00479616306954436
0.004,0.620666666666667,0.00121396054628225
0.006,0.384444444444444,0.00268696820420959
0.01,0.0895555555555556,0.0110132158590308
0.004,0.208888888888889,0.00277392510402219
0.004,0.490666666666667,0.0014760147601476
0.006,0.203555555555556,0.00422832980972515
0,0.237555555555556,0
0.012,0.205555555555556,0.00838574423480083
0.002,0.227333333333333,0.00131233595800525
0.002,0.483555555555556,0.000747104968248038
0.002,0.142888888888889,0.00174825174825175
0.014,0.286888888888889,0.00778642936596218
0.014,0.308888888888889,0.00738007380073801
0.006,0.347777777777778,0.00290135396518375
0.004,0.337333333333333,0.00198019801980198
0.004,0.394666666666667,0.00175592625109745
