"TPR","FPR","F1"
0.144,0,0.251748251748252
0.302,0,0.463901689708141
0.136,0,0.23943661971831
0.0859999999999999,0,0.158379373848987
0.428,0.000222222222222213,0.598601398601399
0.054,0,0.10246679316888
0.986,0.972444444444445,0.183646861612963
0.442,0.0166666666666664,0.555276381909549
0.25,0.000222222222222213,0.399361022364217
0.146,0,0.254799301919721
0.982,0.957111111111111,0.185352963382408
0.996,0.976666666666667,0.184683849434452
0.138,0,0.242530755711775
0.078,0,0.144712430426716
0.102,0,0.185117967332123
0.316,0.000222222222222213,0.479514415781487
0.506,0.0193333333333334,0.602380952380952
0.548,0.272222222222222,0.274137068534267
0.998,0.997333333333333,0.181884454164389
0.03,0,0.058252427184466
0.134,0,0.236331569664903
0.198,0,0.330550918196995
0.398,0.0317777777777778,0.472684085510689
0.486,0.0315555555555557,0.549152542372881
0.266,0,0.420221169036335
0.122,0,0.2174688057041
0.34,0.00711111111111112,0.484330484330484
0.426,0.0177777777777777,0.537200504413619
0.572,0.112,0.443410852713178
0.664,0.450444444444444,0.232249038125219
0.996,0.986888888888889,0.183121897407612
0.328,0.000222222222222213,0.493233082706767
0.376,0.000222222222222213,0.545718432510885
0.44,0.002,0.603566529492455
0.362,0.0257777777777777,0.454203262233375
0.162,0,0.278829604130809
0.942,0.832888888888889,0.199618563254927
1,0.999777777777778,0.181851245681033
0.78,0.240444444444445,0.395537525354969
0.356,0.00599999999999998,0.504964539007092
0.328,0.00266666666666664,0.485207100591716
0.01,0,0.0198019801980198
0.252,0,0.402555910543131
0.716,0.502888888888889,0.229413649471323
0.632,0.0188888888888888,0.701442841287459
0.224,0,0.366013071895425
0.434,0.000222222222222213,0.604456824512535
0.16,0,0.275862068965517
0.046,0,0.0879541108986616
0.176,0,0.299319727891156
