"TPR","FPR","F1"
0,1.40167389507426e-05,0
0.00179165001505573,2.20696135689098e-05,0.00357618243811223
0,0,0
0,2.73833922422738e-05,0
0.00273401721654649,0,0.0054531254941081
0,4.18401121830644e-05,0
0.000750953774192125,8.18810655377332e-05,0.00149967620510724
0.00218476260128724,0,0.00435999963842283
0.000293980470431534,0,0.000587788142628384
0.000797769181804386,0,0.00159426650692197
0.000122125737233983,4.53483522088525e-05,0.000244122026100959
0,3.91380509936458e-05,0
0,5.70515801472865e-05,0
0.00182145731730581,0,0.00363629128524226
0.000753067972209565,7.0953251146928e-05,0.001504042847353
0.00435729888449439,1.35585012490647e-05,0.00867573632295068
0.000563224231361701,0,0.00112581437678638
0,0,0
0.001433795234375,0,0.00286348481786444
0.00169500065052251,0.000103623150734599,0.003381117047437
0.002,0,0.00399201596806387
0,0,0
0,0,0
0,0,0
0.002,0,0.00399201596806387
0,0,0
0,0,0
0.002,0,0.00399201596806387
0,0,0
0,0,0
0.004,0,0.00796812749003984
0,0,0
0,0,0
0,0,0
0,0,0
0.002,0.000222222222222222,0.00398406374501992
0.004,0,0.00796812749003984
0.002,0,0.00399201596806387
0,0,0
0.002,0,0.00399201596806387
0,0,0
0,0,0
0,0,0
0.002,0,0.00399201596806387
0,0,0
0,0,0
0,0,0
0.004,0,0.00796812749003984
0,0,0
0,0,0
