"TPR","FPR","F1"
1,0,1
1,0,1
1,0,1
1,0,1
0.999494414373997,0,0.999747143266634
0.999201980805575,0,0.999600831130578
0.999218656402896,0,0.999609175517344
1,0,1
0.998999852799076,0,0.999499676200814
0.999631016909298,0,0.999815474411238
0.998642254355004,0,0.999320665996109
1,0,1
0.999945774955803,0,0.999972886742793
1,0,1
1,0,1
0.999775638442681,0,0.999887806635402
0.998661326971706,0,0.999330215174413
0.999938320927287,0,0.999969159512537
0.998171894026471,0,0.999085110755989
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
0.998,0,0.998998998998999
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
0.998,0,0.998998998998999
1,0,1
0.998,0,0.998998998998999
1,0,1
0.998,0,0.998998998998999
1,0,1
0.998,0,0.998998998998999
1,0,1
1,0,1
