"TPR","FPR","F1"
1,0,1
0.999407487293359,0,0.999703655852843
0.999995874109419,0,0.999997937050454
1,0,1
0.999794481122464,0,0.999897230000645
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
0.999449117450728,0,0.999724482836565
1,0,1
1,0,1
1,0,1
1,0,1
0.999260651108254,0,0.999630188844393
0.9997991948396,0,0.99989958733811
1,0,1
0.999916933708762,0,0.999958465129307
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
0.998,0,0.998998998998999
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
