"TPR","FPR","F1"
0.999944419935086,0,0.999972209195236
0.999069207196334,0,0.999534386903507
0.999498981232508,0,0.999749427845578
0.999236905822665,0,0.999618307277585
0.999539349054837,0,0.999769621465374
1,0,1
0.999637112023783,0,0.999818523083996
1,0,1
1,0,1
0.998531354294274,0,0.999265137520825
0.998477448268527,0,0.999238144151793
1,0,1
0.999228947280689,0,0.999614324952447
1,0,1
0.99982869757995,0,0.999914341453217
1,0,1
1,0,1
0.998130093835022,0,0.999064171962202
0.998797921028627,0,0.999398599048595
0.998791181451526,0,0.999395225194262
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
0.998,0,0.998998998998999
0.998,0,0.998998998998999
1,0,1
0.998,0,0.998998998998999
1,0,1
1,0,1
0.998,0,0.998998998998999
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
0.998,0,0.998998998998999
1,0,1
1,0,1
0.998,0,0.998998998998999
1,0,1
1,0,1
1,0,1
1,0,1
