"TPR","FPR","F1"
1,0,1
1,0,1
0.999777358556927,0,0.999888666884781
1,0,1
0.999354979655496,0,0.999677385781381
0.998366341488761,0,0.999182502988905
0.999807571069042,0,0.999903776276407
1,0,1
1,0,1
0.999847545188886,0,0.999923766783383
0.999599122023848,0,0.999799520828082
1,0,1
1,0,1
0.999212569689767,0,0.999606129772206
0.998643741281162,0,0.999321410469097
0.99951184210099,0,0.999755861461417
0.999111685378191,0,0.999555645325718
0.9985749767805,0,0.999286980355475
0.999410792846846,0,0.999705309606579
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
0.998,0,0.998998998998999
1,0,1
1,0,1
0.998,0,0.998998998998999
0.998,0,0.998998998998999
1,0,1
0.998,0,0.998998998998999
1,0,1
1,0,1
1,0,1
1,0,1
0.998,0,0.998998998998999
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
