"TPR","FPR","F1"
1,0.0119686459260973,0.948893626721101
0.989656966756061,0.0108773341099616,0.948150278534308
0.998,0.0115555555555556,0.949571836346337
0.996,0.0108888888888889,0.951289398280802
1,0.00822222222222222,0.964320154291225
0.998,0.00866666666666667,0.961464354527938
0.988,0.0106666666666667,0.948176583493282
0.998,0.012,0.947768281101614
0.996,0.01,0.954937679769894
0.98,0.012,0.938697318007663
0.992,0.0124444444444444,0.942965779467681
0.988,0.0124444444444444,0.940952380952381
1,0.0126666666666667,0.946073793755913
1,0.00911111111111111,0.96061479346782
0.984,0.0106666666666667,0.946153846153846
1,0.01,0.956937799043062
1,0.00911111111111111,0.96061479346782
0.974,0.00866666666666667,0.949317738791423
0.998,0.0108888888888889,0.952290076335878
1,0.0135555555555556,0.942507068803016
0.984,0.0151111111111111,0.928301886792453
0.978,0.0106666666666667,0.943105110896818
0.988,0.00955555555555555,0.95274831243973
0.992,0.0124444444444444,0.942965779467681
0.996,0.0117777777777778,0.9476688867745
0.974,0.00755555555555556,0.953966699314398
0.996,0.0115555555555556,0.948571428571428
0.988,0.00844444444444444,0.957364341085271
0.994,0.0126666666666667,0.943074003795066
0.986,0.0124444444444444,0.939942802669209
0.992,0.00844444444444444,0.959381044487427
0.998,0.01,0.955938697318008
0.996,0.0126666666666667,0.944075829383886
0.984,0.0124444444444444,0.938931297709924
1,0.00911111111111111,0.96061479346782
1,0.00622222222222222,0.972762645914397
0.994,0.00955555555555555,0.955769230769231
0.998,0.0111111111111111,0.951382268827455
0.99,0.0137777777777778,0.936613055818354
0.998,0.0126666666666667,0.945075757575758
0.998,0.012,0.947768281101614
0.994,0.0108888888888889,0.950286806883365
0.996,0.00977777777777778,0.955854126679463
0.992,0.0148888888888889,0.933207902163688
0.962,0.00777777777777778,0.946850393700787
1,0.00955555555555555,0.958772770853308
1,0.0117777777777778,0.949667616334283
1,0.00955555555555555,0.958772770853308
0.984,0.0115555555555556,0.942528735632184
0.99,0.0126666666666667,0.94106463878327
