"TPR","FPR","F1"
0.964,0,0.981670061099796
0.51,0,0.675496688741722
0.574,0,0.729351969504447
0.886,0.000222222222222222,0.938559322033898
0.888,0,0.940677966101695
1,0.984666666666667,0.184128153194623
0.37,0,0.54014598540146
0.922,0.000444444444444444,0.95742471443406
0.992,0.014,0.936732766761095
0.55,0,0.709677419354839
0.846,0,0.916576381365114
0.81,0.000222222222222222,0.894039735099338
0.672,0,0.803827751196172
0.998,0.0944444444444444,0.700842696629214
1,0.000444444444444444,0.998003992015968
0.938,0.000888888888888889,0.964028776978417
0.93,0,0.963730569948187
0.958,0.000222222222222222,0.977551020408163
1,0.992,0.183016105417277
0.978,0.00355555555555556,0.973134328358209
0.62,0,0.765432098765432
1,0.708,0.238891543239369
0.598,0,0.748435544430538
0.962,0.000222222222222222,0.979633401221996
0.982,0,0.990918264379415
0.974,0.0124444444444444,0.933844678811122
0.996,0.008,0.963249516441006
0.68,0,0.80952380952381
0.806,0,0.892580287929125
0.996,0.024,0.900542495479204
0.99,0.0144444444444444,0.933962264150944
0.72,0,0.837209302325581
0.994,0.0402222222222222,0.843803056027165
0.406,0,0.577524893314367
0.874,0.00222222222222222,0.922914466737064
0.398,0,0.569384835479256
0.532,0,0.694516971279373
1,0.463111111111111,0.324254215304799
0.556,0,0.714652956298201
0.408,0.000444444444444444,0.577903682719547
1,0.116,0.657030223390276
0.936,0.000666666666666667,0.963954685890834
1,0.212888888888889,0.510725229826353
0.29,0,0.449612403100775
0.942,0.00488888888888889,0.948640483383686
0.854,0.000222222222222222,0.920258620689655
1,0.000666666666666667,0.997008973080758
0.798,0,0.887652947719689
0.652,0.0573333333333333,0.601476014760148
0.964,0,0.981670061099796
