"TPR","FPR","F1"
0.00274963278767361,0.00102157910186384,0.0054343584420471
0.00241677060876742,0.000561989982009431,0.0047976800919612
0.004,0.000666666666666667,0.00792079207920792
0.002,0.000222222222222222,0.00398406374501992
0.002,0.00111111111111111,0.00395256916996047
0.002,0.00111111111111111,0.00395256916996047
0,0.000444444444444444,0
0.002,0.00133333333333333,0.00394477317554241
0.008,0.00177777777777778,0.015625
0.006,0.000222222222222222,0.0119047619047619
0.002,0,0.00399201596806387
0,0.000222222222222222,0
0.002,0.000888888888888889,0.00396039603960396
0.002,0.00244444444444444,0.00390625
0,0.000222222222222222,0
0.006,0.000666666666666667,0.0118577075098814
0.006,0.000444444444444444,0.0118811881188119
0.002,0.000222222222222222,0.00398406374501992
0.004,0.00266666666666667,0.00778210116731518
0,0.00133333333333333,0
0.01,0.00133333333333333,0.0195694716242661
0,0.000222222222222222,0
0,0,0
0.004,0.000888888888888889,0.00790513833992095
0,0.000222222222222222,0
0,0.000222222222222222,0
0,0,0
0.004,0.000222222222222222,0.00795228628230616
0,0.000222222222222222,0
0,0,0
0.002,0,0.00399201596806387
0.002,0.000222222222222222,0.00398406374501992
0.004,0.002,0.00782778864970646
0,0.00133333333333333,0
0.004,0.000222222222222222,0.00795228628230616
0.004,0.000888888888888889,0.00790513833992095
0.006,0.000444444444444444,0.0118811881188119
0.004,0.000444444444444444,0.00793650793650794
0,0.000666666666666667,0
0.002,0.000666666666666667,0.00396825396825397
0.002,0.000222222222222222,0.00398406374501992
0,0.000222222222222222,0
0.002,0.00111111111111111,0.00395256916996047
0.004,0.00155555555555556,0.00785854616895874
0,0.000222222222222222,0
0.002,0.000666666666666667,0.00396825396825397
0.006,0.00133333333333333,0.0117878192534381
0.004,0.00111111111111111,0.00788954635108481
0,0,0
0.004,0.000666666666666667,0.00792079207920792
