"TPR","FPR","F1"
0.00116834472736237,0.127419278103986,0.00108787370443331
0.000248696594538534,0.155995352750715,0.000206884521878757
0,0.0442222222222222,0
0.002,0.0948888888888889,0.0021551724137931
0,0.0548888888888889,0
0,0.0446666666666667,0
0,0.122888888888889,0
0,0.0151111111111111,0
0,0.0871111111111111,0
0,0.124222222222222,0
0,0.160666666666667,0
0,0.140666666666667,0
0.002,0.0935555555555556,0.00216919739696312
0,0.042,0
0,0.102666666666667,0
0,0.046,0
0,0.182222222222222,0
0,0.0397777777777778,0
0,0.0615555555555556,0
0,0.0846666666666667,0
0,0.210444444444444,0
0,0.118888888888889,0
0.002,0.154444444444444,0.00167224080267559
0,0.0686666666666667,0
0,0.0768888888888889,0
0,0.144444444444444,0
0.002,0.0955555555555556,0.00214822771213749
0.002,0.108444444444444,0.00202224469160769
0.006,0.243333333333333,0.00375469336670839
0,0.174,0
0,0.0791111111111111,0
0,0.143777777777778,0
0.002,0.08,0.00232288037166086
0.002,0.179777777777778,0.00152671755725191
0,0.0911111111111111,0
0.002,0.0291111111111111,0.00316455696202532
0,0.044,0
0,0.0871111111111111,0
0.002,0.223333333333333,0.00132802124833997
0,0.0648888888888889,0
0,0.124888888888889,0
0,0.175111111111111,0
0,0.0591111111111111,0
0,0.158666666666667,0
0,0.153333333333333,0
0,0.0173333333333333,0
0,0.104444444444444,0
0,0.0942222222222222,0
0,0.166,0
0,0.120888888888889,0
