"TPR","FPR","F1"
0,0.000327369798854791,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0.000222222222222222,0
0,0,0
0,0.000222222222222222,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0.000444444444444444,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0.000666666666666667,0
0,0.00244444444444444,0
0,0,0
0,0.000222222222222222,0
0,0,0
0,0,0
0.002,0.000444444444444444,0.00397614314115308
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0.000222222222222222,0
0,0,0
0,0,0
0.002,0,0.00399201596806387
0.002,0,0.00399201596806387
0,0.000222222222222222,0
0,0,0
0,0,0
0,0,0
0.002,0.000222222222222222,0.00398406374501992
0,0,0
0,0.000222222222222222,0
0,0.000888888888888889,0
