"TPR","FPR","F1"
0.15,0,0.260869565217391
0.974,0.002,0.977911646586345
0.186,0,0.313659359190556
0.88,0.00844444444444444,0.899795501022495
1,0.647333333333333,0.255558395093279
0.924,0.0924444444444444,0.670537010159652
0.876,0.0602222222222222,0.724565756823821
0.998,0.00688888888888889,0.968932038834951
0,0,0
0.968,0.0804444444444444,0.719167904903418
0.996,0.002,0.989076464746772
0.036,0.000666666666666667,0.0690978886756238
0.146,0,0.254799301919721
1,0.977111111111111,0.185288123031314
0.394,0,0.565279770444763
0.006,0.000444444444444444,0.0118811881188119
1,0.966666666666667,0.186915887850467
1,0.884222222222222,0.200843542880096
0.06,0,0.113207547169811
0.264,0.000222222222222222,0.417061611374408
0.356,0.00111111111111111,0.521229868228404
1,0.922666666666667,0.194099378881988
0.45,0,0.620689655172414
0.98,0.164222222222222,0.566801619433199
1,0.000444444444444444,0.998003992015968
1,0.993333333333333,0.182815356489945
1,0.0906666666666667,0.710227272727273
0.958,0.000444444444444444,0.976554536187564
0.23,0,0.373983739837398
0.554,0.485555555555556,0.187035786630655
0.03,0.00666666666666667,0.055045871559633
0.84,0.000222222222222222,0.912052117263844
1,0.592222222222222,0.272851296043656
0.996,0.000222222222222222,0.996996996996997
0.622,0.00155555555555556,0.76039119804401
0.998,0.0426666666666667,0.837951301427372
0.848,0.0308888888888889,0.797742238946378
0.44,0.000666666666666667,0.608575380359613
1,0.423555555555556,0.344115622849277
0.114,0.000222222222222222,0.204301075268817
1,0.999777777777778,0.181851245681033
1,0.919555555555556,0.194628260023355
0.996,0.713777777777778,0.236579572446556
0.07,0,0.130841121495327
1,0.811111111111111,0.21505376344086
0.012,0,0.0237154150197628
1,0.00355555555555556,0.984251968503937
0.152,0,0.263888888888889
0,0.000444444444444444,0
1,0.006,0.973709834469328
