"TPR","FPR","F1"
0.00537961005467759,0,0.0107016494085951
0.0013862742642651,0,0.0027687103366453
0.002,0,0.00399201596806387
0.004,0,0.00796812749003984
0.002,0,0.00399201596806387
0,0,0
0.008,0.000222222222222222,0.0158415841584158
0.002,0,0.00399201596806387
0.002,0,0.00399201596806387
0.002,0,0.00399201596806387
0.012,0,0.0237154150197628
0.004,0,0.00796812749003984
0.006,0,0.0119284294234592
0.006,0,0.0119284294234592
0.002,0,0.00399201596806387
0.006,0,0.0119284294234592
0.004,0,0.00796812749003984
0.004,0,0.00796812749003984
0.002,0,0.00399201596806387
0.002,0,0.00399201596806387
0.002,0,0.00399201596806387
0.008,0,0.0158730158730159
0.014,0.000222222222222222,0.0275590551181102
0.01,0,0.0198019801980198
0.002,0,0.00399201596806387
0.004,0,0.00796812749003984
0.002,0,0.00399201596806387
0.004,0,0.00796812749003984
0.002,0,0.00399201596806387
0.006,0,0.0119284294234592
0,0,0
0.006,0,0.0119284294234592
0.002,0,0.00399201596806387
0.002,0,0.00399201596806387
0.006,0,0.0119284294234592
0,0,0
0.002,0,0.00399201596806387
0,0,0
0.008,0,0.0158730158730159
0.004,0,0.00796812749003984
0.002,0,0.00399201596806387
0.006,0,0.0119284294234592
0,0,0
0.002,0,0.00399201596806387
0.004,0,0.00796812749003984
0.004,0,0.00796812749003984
0.004,0,0.00796812749003984
0.006,0,0.0119284294234592
0.008,0,0.0158730158730159
0.004,0,0.00796812749003984
