"TPR","FPR","F1"
0,0,0
0.004,0,0.00796812749003984
0,0,0
0.002,0,0.00399201596806387
0,0,0
0.002,0,0.00399201596806387
0.004,0,0.00796812749003984
0,0,0
0,0,0
0,0,0
0.002,0,0.00399201596806387
0.002,0,0.00399201596806387
0.002,0,0.00399201596806387
0,0.000222222222222222,0
0,0,0
0,0,0
0,0,0
0,0,0
0.002,0,0.00399201596806387
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.002,0,0.00399201596806387
0,0,0
0,0.000222222222222222,0
0,0,0
0.004,0.000222222222222222,0.00795228628230616
0.002,0,0.00399201596806387
0,0,0
0,0,0
0,0,0
0,0,0
0.002,0,0.00399201596806387
0,0,0
0,0,0
0.002,0,0.00399201596806387
0.002,0,0.00399201596806387
0,0,0
0,0,0
0,0,0
0.002,0,0.00399201596806387
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
