"TPR","FPR","F1"
0.000393101094333742,4.24300737041724e-05,0.00078559337598808
0.000548860088300864,3.16782168536838e-05,0.00109680548027232
0,0,0
5e-04,0,0.000999500249875063
0,5.55555555555556e-05,0
0,0,0
0.0015,0.000166666666666667,0.00299102691924227
0.0015,5.55555555555556e-05,0.0029940119760479
0,0,0
0,0,0
0.0015,0,0.00299550673989016
0,0,0
5e-04,0,0.000999500249875063
0,0,0
0,0,0
0,0,0
5e-04,0,0.000999500249875063
0,5.55555555555556e-05,0
0.002,0,0.00399201596806387
5e-04,0,0.000999500249875063
5e-04,0,0.000999500249875063
5e-04,0,0.000999500249875063
5e-04,5.55555555555556e-05,0.000999000999000999
0,5.55555555555556e-05,0
0,0,0
0,5.55555555555556e-05,0
0,0,0
0,0,0
0.003,0,0.00598205383848455
0.002,5.55555555555556e-05,0.00399002493765586
5e-04,0,0.000999500249875063
0,0,0
0,0,0
0,0,0
0,0,0
5e-04,0,0.000999500249875063
0.0015,0,0.00299550673989016
0.001,5.55555555555556e-05,0.00199700449326011
5e-04,5.55555555555556e-05,0.000999000999000999
5e-04,0,0.000999500249875063
0.001,0,0.001998001998002
0.003,0.000111111111111111,0.00597609561752988
5e-04,0,0.000999500249875063
0.001,5.55555555555556e-05,0.00199700449326011
0,0,0
0.002,0,0.00399201596806387
0.001,0,0.001998001998002
5e-04,5.55555555555556e-05,0.000999000999000999
0.001,0,0.001998001998002
0,0,0
