"TPR","FPR","F1"
0.6225,0.459833333333333,0.216108314528728
0.7465,0.543166666666667,0.225018839487566
0.546,0.2515,0.286651791573697
0.7525,0.457611111111111,0.256344745358542
0.9995,0.911,0.196009217041722
0.9255,0.698055555555556,0.225511695906433
0.469,0.262611111111111,0.244748858447489
0.8315,0.531222222222222,0.251493383742911
0.75,0.75,0.176470588235294
0.7405,0.482111111111111,0.243605559667736
0.962,0.680833333333333,0.23783917423821
0.6045,0.684166666666667,0.155758825045091
0.536,0.276611111111111,0.266302322692833
0.759,0.745333333333333,0.179284280146451
0.8485,0.750444444444444,0.197268235977914
0.9965,0.962222222222222,0.187022005348848
0.75,0.741666666666667,0.178041543026706
1,0.970611111111111,0.18629779702855
0.7555,0.718055555555556,0.183864687271842
0.566,0.433611111111111,0.2070037487428
0.344,0.027,0.433522369250158
0.968,0.9175,0.189330595080925
1,0.837833333333333,0.209632618835491
0.741,0.608444444444444,0.205348482749065
0.999,0.881055555555556,0.20123885783351
0.9985,0.989055555555556,0.183211009174312
0.5055,0.501166666666667,0.168051861702128
1,0.973333333333333,0.185873605947955
0.3125,0.0798333333333333,0.307730182176268
0.7765,0.677833333333333,0.197156277770725
0.981,0.957555555555555,0.185111803000283
0.96,0.547944444444444,0.278604077486759
1,0.908444444444444,0.196540880503145
0.951,0.6685,0.238719799184186
0.75,0.749888888888889,0.176491351923756
0.951,0.678722222222222,0.235994788758608
0.962,0.684888888888889,0.236770858971204
0.86,0.749833333333333,0.199802520764361
1,0.901,0.197843505786923
0.7775,0.735833333333333,0.185119047619048
0.5,0.5,0.166666666666667
0.7385,0.705166666666667,0.182683982683983
0.8115,0.775888888888889,0.184547160156916
0.7625,0.498888888888889,0.24390243902439
0.9955,0.976666666666667,0.184599694033656
0.749,0.501,0.239373601789709
0.999,0.995611111111111,0.182307587024956
0.789,0.575111111111111,0.226561378320172
0.75,0.686555555555556,0.189178963299281
0.776,0.652555555555556,0.202902340175186
