"TPR","FPR","F1"
0,0.00814519765759414,0
0.00207708096309939,0.00443863845953876,0.00398662471196985
0,0.0148888888888889,0
0.008,0.000222222222222222,0.0158415841584158
0.002,0.0626666666666667,0.00255427841634738
0,0.066,0
0,0.00644444444444444,0
0,0.0271111111111111,0
0,0.0288888888888889,0
0,0.00288888888888889,0
0,0.0837777777777778,0
0.004,0.00644444444444444,0.00753295668549906
0.006,0.00177777777777778,0.0117416829745597
0.004,0.000888888888888889,0.00790513833992095
0.004,0.00311111111111111,0.00775193798449612
0.002,0.0802222222222222,0.00232018561484919
0,0.008,0
0,0.0186666666666667,0
0.002,0.0297777777777778,0.0031496062992126
0.002,0.0228888888888889,0.00331125827814569
0,0.00555555555555556,0
0.002,0.006,0.00378787878787879
0.004,0.103111111111111,0.0041407867494824
0,0.0211111111111111,0
0,0.0346666666666667,0
0,0.0266666666666667,0
0.002,0.00377777777777778,0.00386100386100386
0,0.00311111111111111,0
0.002,0.00244444444444444,0.00390625
0,0.0242222222222222,0
0.002,0.004,0.00385356454720617
0,0.00555555555555556,0
0.002,0.00355555555555556,0.00386847195357834
0,0.00822222222222222,0
0,0.00311111111111111,0
0,0.00777777777777778,0
0.002,0.000222222222222222,0.00398406374501992
0,0.105111111111111,0
0,0.0353333333333333,0
0,0.01,0
0.004,0.0215555555555556,0.00667779632721202
0.002,0.000888888888888889,0.00396039603960396
0,0.000444444444444444,0
0,0.0222222222222222,0
0,0.00288888888888889,0
0,0.0908888888888889,0
0.002,0.0175555555555556,0.00344827586206896
0,0.00444444444444444,0
0.002,0.0104444444444444,0.00364963503649635
0.002,0.0144444444444444,0.00353356890459364
