"TPR","FPR","F1"
0.998,0.00422222222222222,0.980353634577603
1,0.00377777777777778,0.983284169124877
0.992,0.00222222222222222,0.986083499005964
1,0.00355555555555556,0.984251968503937
0.998,0.00377777777777778,0.982283464566929
0.992,0.00177777777777778,0.98804780876494
0.998,0.00266666666666667,0.987141444114738
0.998,0.00266666666666667,0.987141444114738
0.984,0.00266666666666667,0.9800796812749
0.982,0.002,0.982
0.98,0.00333333333333333,0.975124378109453
0.996,0.004,0.980314960629921
1,0.00244444444444444,0.989119683481701
0.986,0.00288888888888889,0.980119284294235
0.998,0.00355555555555556,0.983251231527093
0.98,0.00266666666666667,0.978043912175649
0.99,0.00111111111111111,0.99
0.998,0.002,0.990079365079365
0.998,0.00422222222222222,0.980353634577603
0.954,0.00244444444444444,0.965587044534413
0.932,0.002,0.955897435897436
0.978,0.00311111111111111,0.975074775672981
0.998,0.00288888888888889,0.986166007905138
0.992,0.00222222222222222,0.986083499005964
0.91,0.002,0.943983402489627
0.994,0.00288888888888889,0.984158415841584
0.992,0.00222222222222222,0.986083499005964
0.996,0.00266666666666667,0.986138613861386
0.988,0.00244444444444444,0.983084577114428
0.99,0.00244444444444444,0.984095427435388
0.988,0.00244444444444444,0.983084577114428
0.994,0.00222222222222222,0.987090367428004
0.986,0.00111111111111111,0.987975951903808
0.998,0.00444444444444444,0.979391560353287
1,0.00288888888888889,0.987166831194472
0.99,0.00311111111111111,0.981169474727453
0.996,0.00311111111111111,0.984189723320158
0.97,0.00377777777777778,0.968063872255489
0.998,0.002,0.990079365079365
1,0.00488888888888889,0.978473581213307
0.968,0.00244444444444444,0.97286432160804
1,0.00288888888888889,0.987166831194472
0.986,0.00288888888888889,0.980119284294235
0.958,0.002,0.969635627530364
0.998,0.00244444444444444,0.988118811881188
0.982,0.00244444444444444,0.980039920159681
0.992,0.00333333333333333,0.981206726013848
0.978,0.00244444444444444,0.978
0.988,0.00288888888888889,0.981132075471698
0.996,0.004,0.980314960629921
