"TPR","FPR","F1"
0,0,0
0.004,0,0.00796812749003984
0,0,0
0,0,0
0.744,0.0717777777777778,0.622594142259414
0.006,0.000888888888888889,0.0118343195266272
0,0,0
0,0,0
0.996,0.00111111111111111,0.993020937188435
0,0,0
0.066,0,0.123827392120075
0,0,0
0,0,0
0,0,0
1,0.00111111111111111,0.995024875621891
0.796,0.12,0.553546592489569
0,0,0
0.702,0.275555555555556,0.335724533715925
0.226,0,0.368678629690049
0,0,0
0,0,0
0.074,0.0506666666666667,0.0967320261437908
0.832,0.0288888888888889,0.795411089866157
0,0,0
0.344,0.0275555555555556,0.4321608040201
0.49,0.605111111111111,0.141291810841984
0,0,0
0.978,0.476888888888889,0.311961722488038
0,0,0
0,0,0
0.096,0.209555555555556,0.0643863179074446
0.982,0,0.990918264379415
0.964,0.137333333333333,0.6025
0.11,0,0.198198198198198
0,0,0
0.04,0.000888888888888889,0.0763358778625954
0.974,0.000888888888888889,0.98284561049445
0.958,0.000666666666666667,0.975560081466395
0.866,0.0457777777777778,0.760316066725198
0.342,0.000222222222222222,0.508928571428571
0,0,0
0,0,0
0,0.000444444444444444,0
0.254,0,0.405103668261563
0.208,0.266666666666667,0.11529933481153
0,0,0
0.526,0.540666666666667,0.164580725907384
0.006,0,0.0119284294234592
1,0.00111111111111111,0.995024875621891
0,0,0
