"method","set","value","inf","inte_situ","pattern"
"nnSVG-PASTE","F1",0.181818181818182,"inf1","scenario 1","linear"
"nnSVG-AVE","F1",0.919963201471941,"inf1","scenario 1","linear"
"nnSVG-Union","F1",0.742942050520059,"inf1","scenario 1","linear"
"nnSVG-Inter","F1",1,"inf1","scenario 1","linear"
"nnSVG-Cauchy","F1",1,"inf1","scenario 1","linear"
"nnSVG-HMP","F1",0.894454382826476,"inf1","scenario 1","linear"
"nnSVG-PASTE","precision",0.1,"inf1","scenario 1","linear"
"nnSVG-AVE","precision",0.851788756388416,"inf1","scenario 1","linear"
"nnSVG-Union","precision",0.591016548463357,"inf1","scenario 1","linear"
"nnSVG-Inter","precision",1,"inf1","scenario 1","linear"
"nnSVG-Cauchy","precision",1,"inf1","scenario 1","linear"
"nnSVG-HMP","precision",0.809061488673139,"inf1","scenario 1","linear"
"nnSVG-PASTE","recall",1,"inf1","scenario 1","linear"
"nnSVG-AVE","recall",1,"inf1","scenario 1","linear"
"nnSVG-Union","recall",1,"inf1","scenario 1","linear"
"nnSVG-Inter","recall",1,"inf1","scenario 1","linear"
"nnSVG-Cauchy","recall",1,"inf1","scenario 1","linear"
"nnSVG-HMP","recall",1,"inf1","scenario 1","linear"
"nnSVG-PASTE","FPR",1,"inf1","scenario 1","linear"
"nnSVG-AVE","FPR",0.0193333333333333,"inf1","scenario 1","linear"
"nnSVG-Union","FPR",0.0768888888888889,"inf1","scenario 1","linear"
"nnSVG-Inter","FPR",0,"inf1","scenario 1","linear"
"nnSVG-Cauchy","FPR",0,"inf1","scenario 1","linear"
"nnSVG-HMP","FPR",0.0262222222222222,"inf1","scenario 1","linear"
"nnSVG-PASTE","F1",0.181818181818182,"inf1","scenario 2","linear"
"nnSVG-AVE","F1",0.853215513009328,"inf1","scenario 2","linear"
"nnSVG-Union","F1",0.749625187406297,"inf1","scenario 2","linear"
"nnSVG-Inter","F1",0.697916666666667,"inf1","scenario 2","linear"
"nnSVG-Cauchy","F1",0.997995991983968,"inf1","scenario 2","linear"
"nnSVG-HMP","F1",0.896057347670251,"inf1","scenario 2","linear"
"nnSVG-PASTE","precision",0.1,"inf1","scenario 2","linear"
"nnSVG-AVE","precision",0.837994214079074,"inf1","scenario 2","linear"
"nnSVG-Union","precision",0.599520383693046,"inf1","scenario 2","linear"
"nnSVG-Inter","precision",1,"inf1","scenario 2","linear"
"nnSVG-Cauchy","precision",1,"inf1","scenario 2","linear"
"nnSVG-HMP","precision",0.811688311688312,"inf1","scenario 2","linear"
"nnSVG-PASTE","recall",1,"inf1","scenario 2","linear"
"nnSVG-AVE","recall",0.869,"inf1","scenario 2","linear"
"nnSVG-Union","recall",1,"inf1","scenario 2","linear"
"nnSVG-Inter","recall",0.536,"inf1","scenario 2","linear"
"nnSVG-Cauchy","recall",0.996,"inf1","scenario 2","linear"
"nnSVG-HMP","recall",1,"inf1","scenario 2","linear"
"nnSVG-PASTE","FPR",1,"inf1","scenario 2","linear"
"nnSVG-AVE","FPR",0.0186666666666667,"inf1","scenario 2","linear"
"nnSVG-Union","FPR",0.0742222222222222,"inf1","scenario 2","linear"
"nnSVG-Inter","FPR",0,"inf1","scenario 2","linear"
"nnSVG-Cauchy","FPR",0,"inf1","scenario 2","linear"
"nnSVG-HMP","FPR",0.0257777777777778,"inf1","scenario 2","linear"
"nnSVG-PASTE","F1",0.181818181818182,"inf1","scenario 3","linear"
"nnSVG-AVE","F1",0.923485653560043,"inf1","scenario 3","linear"
"nnSVG-Union","F1",0.974658869395711,"inf1","scenario 3","linear"
"nnSVG-Inter","F1",0.697916666666667,"inf1","scenario 3","linear"
"nnSVG-Cauchy","F1",0.997995991983968,"inf1","scenario 3","linear"
"nnSVG-HMP","F1",0.99601593625498,"inf1","scenario 3","linear"
"nnSVG-PASTE","precision",0.1,"inf1","scenario 3","linear"
"nnSVG-AVE","precision",0.985260770975057,"inf1","scenario 3","linear"
"nnSVG-Union","precision",0.950570342205323,"inf1","scenario 3","linear"
"nnSVG-Inter","precision",1,"inf1","scenario 3","linear"
"nnSVG-Cauchy","precision",1,"inf1","scenario 3","linear"
"nnSVG-HMP","precision",0.992063492063492,"inf1","scenario 3","linear"
"nnSVG-PASTE","recall",1,"inf1","scenario 3","linear"
"nnSVG-AVE","recall",0.869,"inf1","scenario 3","linear"
"nnSVG-Union","recall",1,"inf1","scenario 3","linear"
"nnSVG-Inter","recall",0.536,"inf1","scenario 3","linear"
"nnSVG-Cauchy","recall",0.996,"inf1","scenario 3","linear"
"nnSVG-HMP","recall",1,"inf1","scenario 3","linear"
"nnSVG-PASTE","FPR",1,"inf1","scenario 3","linear"
"nnSVG-AVE","FPR",0.00144444444444444,"inf1","scenario 3","linear"
"nnSVG-Union","FPR",0.00577777777777778,"inf1","scenario 3","linear"
"nnSVG-Inter","FPR",0,"inf1","scenario 3","linear"
"nnSVG-Cauchy","FPR",0,"inf1","scenario 3","linear"
"nnSVG-HMP","FPR",0.000888888888888889,"inf1","scenario 3","linear"
"nnSVG-PASTE","F1",0.182848784055586,"inf1","scenario 4","linear"
"nnSVG-AVE","F1",0.590940766550523,"inf1","scenario 4","linear"
"nnSVG-Union","F1",0.978473581213307,"inf1","scenario 4","linear"
"nnSVG-Inter","F1",0,"inf1","scenario 4","linear"
"nnSVG-Cauchy","F1",0,"inf1","scenario 4","linear"
"nnSVG-HMP","F1",0.997008973080758,"inf1","scenario 4","linear"
"nnSVG-PASTE","precision",0.100623867981485,"inf1","scenario 4","linear"
"nnSVG-AVE","precision",0.974712643678161,"inf1","scenario 4","linear"
"nnSVG-Union","precision",0.957854406130268,"inf1","scenario 4","linear"
"nnSVG-Inter","precision",0,"inf1","scenario 4","linear"
"nnSVG-Cauchy","precision",0,"inf1","scenario 4","linear"
"nnSVG-HMP","precision",0.99403578528827,"inf1","scenario 4","linear"
"nnSVG-PASTE","recall",1,"inf1","scenario 4","linear"
"nnSVG-AVE","recall",0.424,"inf1","scenario 4","linear"
"nnSVG-Union","recall",1,"inf1","scenario 4","linear"
"nnSVG-Inter","recall",0,"inf1","scenario 4","linear"
"nnSVG-Cauchy","recall",0,"inf1","scenario 4","linear"
"nnSVG-HMP","recall",1,"inf1","scenario 4","linear"
"nnSVG-PASTE","FPR",0.993111111111111,"inf1","scenario 4","linear"
"nnSVG-AVE","FPR",0.00122222222222222,"inf1","scenario 4","linear"
"nnSVG-Union","FPR",0.00488888888888889,"inf1","scenario 4","linear"
"nnSVG-Inter","FPR",0,"inf1","scenario 4","linear"
"nnSVG-Cauchy","FPR",0,"inf1","scenario 4","linear"
"nnSVG-HMP","FPR",0.000666666666666667,"inf1","scenario 4","linear"
"nnSVG-PASTE","F1",0.181818181818182,"inf3","scenario 1","linear"
"nnSVG-AVE","F1",0.980745186296574,"inf3","scenario 1","linear"
"nnSVG-Union","F1",0.963391136801541,"inf3","scenario 1","linear"
"nnSVG-Inter","F1",0.960498960498961,"inf3","scenario 1","linear"
"nnSVG-Cauchy","F1",1,"inf3","scenario 1","linear"
"nnSVG-HMP","F1",0.99009900990099,"inf3","scenario 1","linear"
"nnSVG-PASTE","precision",0.1,"inf3","scenario 1","linear"
"nnSVG-AVE","precision",0.980990495247624,"inf3","scenario 1","linear"
"nnSVG-Union","precision",0.929368029739777,"inf3","scenario 1","linear"
"nnSVG-Inter","precision",1,"inf3","scenario 1","linear"
"nnSVG-Cauchy","precision",1,"inf3","scenario 1","linear"
"nnSVG-HMP","precision",0.980392156862745,"inf3","scenario 1","linear"
"nnSVG-PASTE","recall",1,"inf3","scenario 1","linear"
"nnSVG-AVE","recall",0.9805,"inf3","scenario 1","linear"
"nnSVG-Union","recall",1,"inf3","scenario 1","linear"
"nnSVG-Inter","recall",0.924,"inf3","scenario 1","linear"
"nnSVG-Cauchy","recall",1,"inf3","scenario 1","linear"
"nnSVG-HMP","recall",1,"inf3","scenario 1","linear"
"nnSVG-PASTE","FPR",1,"inf3","scenario 1","linear"
"nnSVG-AVE","FPR",0.00211111111111111,"inf3","scenario 1","linear"
"nnSVG-Union","FPR",0.00844444444444444,"inf3","scenario 1","linear"
"nnSVG-Inter","FPR",0,"inf3","scenario 1","linear"
"nnSVG-Cauchy","FPR",0,"inf3","scenario 1","linear"
"nnSVG-HMP","FPR",0.00222222222222222,"inf3","scenario 1","linear"
"nnSVG-PASTE","F1",0.181851245681033,"inf3","scenario 2","linear"
"nnSVG-AVE","F1",0.659848234905972,"inf3","scenario 2","linear"
"nnSVG-Union","F1",0.969932104752667,"inf3","scenario 2","linear"
"nnSVG-Inter","F1",0,"inf3","scenario 2","linear"
"nnSVG-Cauchy","F1",0.4779299847793,"inf3","scenario 2","linear"
"nnSVG-HMP","F1",0.991080277502478,"inf3","scenario 2","linear"
"nnSVG-PASTE","precision",0.1000200040008,"inf3","scenario 2","linear"
"nnSVG-AVE","precision",0.969932104752667,"inf3","scenario 2","linear"
"nnSVG-Union","precision",0.941619585687382,"inf3","scenario 2","linear"
"nnSVG-Inter","precision",0,"inf3","scenario 2","linear"
"nnSVG-Cauchy","precision",1,"inf3","scenario 2","linear"
"nnSVG-HMP","precision",0.982318271119843,"inf3","scenario 2","linear"
"nnSVG-PASTE","recall",1,"inf3","scenario 2","linear"
"nnSVG-AVE","recall",0.5,"inf3","scenario 2","linear"
"nnSVG-Union","recall",1,"inf3","scenario 2","linear"
"nnSVG-Inter","recall",0,"inf3","scenario 2","linear"
"nnSVG-Cauchy","recall",0.314,"inf3","scenario 2","linear"
"nnSVG-HMP","recall",1,"inf3","scenario 2","linear"
"nnSVG-PASTE","FPR",0.999777777777778,"inf3","scenario 2","linear"
"nnSVG-AVE","FPR",0.00172222222222222,"inf3","scenario 2","linear"
"nnSVG-Union","FPR",0.00688888888888889,"inf3","scenario 2","linear"
"nnSVG-Inter","FPR",0,"inf3","scenario 2","linear"
"nnSVG-Cauchy","FPR",0,"inf3","scenario 2","linear"
"nnSVG-HMP","FPR",0.002,"inf3","scenario 2","linear"
"nnSVG-PASTE","F1",0.181917409496089,"inf3","scenario 3","linear"
"nnSVG-AVE","F1",0.651209677419355,"inf3","scenario 3","linear"
"nnSVG-Union","F1",0.99304865938431,"inf3","scenario 3","linear"
"nnSVG-Inter","F1",0,"inf3","scenario 3","linear"
"nnSVG-Cauchy","F1",0.336106489184692,"inf3","scenario 3","linear"
"nnSVG-HMP","F1",0.999000999000999,"inf3","scenario 3","linear"
"nnSVG-PASTE","precision",0.100060036021613,"inf3","scenario 3","linear"
"nnSVG-AVE","precision",0.992827868852459,"inf3","scenario 3","linear"
"nnSVG-Union","precision",0.986193293885602,"inf3","scenario 3","linear"
"nnSVG-Inter","precision",0,"inf3","scenario 3","linear"
"nnSVG-Cauchy","precision",1,"inf3","scenario 3","linear"
"nnSVG-HMP","precision",0.998003992015968,"inf3","scenario 3","linear"
"nnSVG-PASTE","recall",1,"inf3","scenario 3","linear"
"nnSVG-AVE","recall",0.4845,"inf3","scenario 3","linear"
"nnSVG-Union","recall",1,"inf3","scenario 3","linear"
"nnSVG-Inter","recall",0,"inf3","scenario 3","linear"
"nnSVG-Cauchy","recall",0.202,"inf3","scenario 3","linear"
"nnSVG-HMP","recall",1,"inf3","scenario 3","linear"
