"TPR","FPR","F1"
0.712,0,0.831775700934579
0.842,0,0.914223669923996
0.712,0,0.831775700934579
0.718,0,0.835855646100116
0.76,0,0.863636363636364
0.664,0,0.798076923076923
0.842,0,0.914223669923996
0.542,0,0.702983138780804
0.588,0,0.740554156171285
0.49,0,0.657718120805369
0.712,0,0.831775700934579
0.87,0,0.93048128342246
0.85,0,0.918918918918919
0.556,0,0.714652956298201
0.794,0,0.885172798216276
0.728,0,0.842592592592593
0.326,0,0.491704374057315
0.878,0,0.935037273695421
0.78,0,0.876404494382023
0.62,0,0.765432098765432
0.864,0,0.927038626609442
0.56,0,0.717948717948718
0.658,0,0.79372738238842
0.688,0,0.815165876777251
0.626,0,0.769987699876999
0.836,0,0.910675381263617
0.454,0,0.624484181568088
0.824,0,0.903508771929825
0.864,0,0.927038626609442
0.772,0,0.871331828442438
0.66,0,0.795180722891566
0.858,0,0.923573735199139
0.71,0,0.830409356725146
0.86,0,0.924731182795699
0.924,0,0.960498960498961
0.86,0,0.924731182795699
0.56,0,0.717948717948718
0.718,0,0.835855646100116
0.798,0,0.887652947719689
0.898,0,0.946259220231823
0.874,0,0.932764140875133
0.742,0,0.851894374282434
0.872,0,0.931623931623932
0.514,0,0.678996036988111
0.61,0,0.757763975155279
0.918,0,0.957247132429614
0.85,0,0.918918918918919
0.734,0,0.846597462514417
0.448,0,0.61878453038674
0.918,0,0.957247132429614
