"TPR","FPR","F1"
0.997389559649919,0.0640132405271871,0.775120402892395
0.999479205271523,0.0694807090977422,0.761564368930115
1,0.0662274599830699,0.770402035194703
0.998800204980264,0.0653755737266949,0.77211486074427
1,0.0610709960883258,0.784424786260223
1,0.0599947378359324,0.787416256544009
1,0.0665963298379581,0.769418102255143
1,0.0636360489746607,0.777386014726047
0.999557893574026,0.0641221745515788,0.775856245799561
1,0.0645300526619755,0.774962368866872
0.999285736276873,0.0567977441227024,0.796095993188797
0.998881658249705,0.0667537385016711,0.768469430598566
1,0.0628089703557272,0.77964176556378
1,0.065096522206012,0.773434474887622
0.999675639534442,0.0634678845008151,0.777689408407354
0.998421909515721,0.0659034883543003,0.770520064320726
1,0.0629535599743693,0.779246472160209
0.997040095982796,0.0594281199616385,0.787584646600848
0.999562525896619,0.0604114845758035,0.786046422416886
0.997990950041298,0.0590055948851321,0.789224714092169
0.999518906106798,0.0598165753001163,0.787683893015518
0.997167013262863,0.0572666676783997,0.79374361311396
0.999901309396246,0.0599038030059231,0.787622934017263
0.99869517142608,0.0675375567539733,0.766301521301649
0.999555379853751,0.0619636894257365,0.781748949499349
0.999231028427482,0.0653694962977376,0.772335622674871
1,0.0604444444444444,0.786163522012579
1,0.0631111111111111,0.778816199376947
1,0.0613333333333333,0.783699059561129
1,0.0642222222222222,0.775795190069822
1,0.0633333333333333,0.778210116731518
1,0.0586666666666667,0.791139240506329
0.998,0.0626666666666667,0.779078844652615
1,0.06,0.78740157480315
1,0.0582222222222222,0.792393026941363
1,0.0608888888888889,0.784929356357928
1,0.0631111111111111,0.778816199376947
0.998,0.0631111111111111,0.777864380358535
1,0.0595555555555556,0.788643533123028
1,0.0595555555555556,0.788643533123028
1,0.0642222222222222,0.775795190069822
1,0.0613333333333333,0.783699059561129
1,0.0635555555555556,0.777604976671851
1,0.0688888888888889,0.763358778625954
1,0.06,0.78740157480315
1,0.066,0.771010023130301
0.994,0.0744444444444444,0.746246246246246
1,0.06,0.78740157480315
1,0.0653333333333333,0.772797527047914
1,0.0722222222222222,0.754716981132076
