"TPR","FPR","F1"
0.3,0,0.461538461538462
0.402,0.000222222222222222,0.572649572649573
0.3,0,0.461538461538462
0.44,0,0.611111111111111
0.384,0.000222222222222222,0.554112554112554
0.202,0,0.336106489184692
0.4,0,0.571428571428572
0.06,0,0.113207547169811
0.062,0.000222222222222222,0.116541353383459
0.328,0.000222222222222222,0.493233082706767
0.27,0,0.425196850393701
0.366,0,0.535871156661786
0.276,0,0.432601880877743
0.096,0,0.175182481751825
0.392,0.000222222222222222,0.562410329985653
0.434,0,0.605299860529986
0.054,0,0.10246679316888
0.426,0,0.597475455820477
0.29,0.000222222222222222,0.448916408668731
0.35,0,0.518518518518518
0.594,0.000444444444444444,0.74342928660826
0.186,0,0.313659359190556
0.158,0.000666666666666667,0.271477663230241
0.182,0.000222222222222222,0.307432432432432
0.314,0,0.4779299847793
0.276,0,0.432601880877743
0.204,0,0.338870431893688
0.3,0,0.461538461538462
0.448,0,0.61878453038674
0.32,0,0.484848484848485
0.318,0,0.482549317147193
0.43,0,0.601398601398601
0.142,0,0.248686514886165
0.278,0.000222222222222222,0.434375
0.602,0,0.751560549313358
0.4,0.000222222222222222,0.570613409415121
0.394,0,0.565279770444763
0.264,0,0.417721518987342
0.39,0,0.561151079136691
0.478,0.000222222222222222,0.645945945945946
0.47,0.000222222222222222,0.638586956521739
0.17,0,0.290598290598291
0.456,0,0.626373626373626
0.078,0,0.144712430426716
0.276,0,0.432601880877743
0.468,0.000222222222222222,0.636734693877551
0.276,0,0.432601880877743
0.244,0.000444444444444444,0.391025641025641
0.094,0,0.171846435100548
0.502,0.000222222222222222,0.667553191489362
