"TPR","FPR","F1"
1,0,1
1,0,1
1,0,1
1,0,1
1,0.000222222222222222,0.999000999000999
1,0.00111111111111111,0.995024875621891
1,0.000222222222222222,0.999000999000999
1,0.638888888888889,0.258064516129032
1,0.000222222222222222,0.999000999000999
1,0,1
1,0.00155555555555556,0.99304865938431
0.998,0,0.998998998998999
1,0,1
1,0.159111111111111,0.582750582750583
1,0.000666666666666667,0.997008973080758
1,0,1
1,0.000444444444444444,0.998003992015968
1,0.00155555555555556,0.99304865938431
1,0.00111111111111111,0.995024875621891
1,0,1
1,0,1
1,0.258444444444444,0.462320850670366
1,0,1
1,0,1
1,0.00911111111111111,0.96061479346782
1,0.0157777777777778,0.933706816059757
1,0.805555555555556,0.216216216216216
1,0,1
1,0,1
1,0.014,0.940733772342427
1,0.000222222222222222,0.999000999000999
1,0.000222222222222222,0.999000999000999
1,0.732444444444444,0.232774674115456
1,0.000222222222222222,0.999000999000999
1,0,1
1,0,1
1,0.000222222222222222,0.999000999000999
1,0.000888888888888889,0.99601593625498
1,0.0515555555555556,0.811688311688312
1,0,1
1,0.104,0.681198910081744
1,0.000666666666666667,0.997008973080758
1,0.129111111111111,0.632511068943707
1,0,1
0.998,0.0213333333333333,0.911415525114155
1,0,1
1,0.601777777777778,0.269687162891046
1,0,1
1,0.000666666666666667,0.997008973080758
1,0.560888888888889,0.283768444948922
