"","Keratinocyte","TSK","Melanocyte"
"spot 1",0.5971,0.1938,0.2091
"spot 2",1,0,0
"spot 3",0.8267,0.1733,0
"spot 4",0.5826,0.4174,0
"spot 5",0.9312,0.0688,0
"spot 6",0.6719,0.3281,0
"spot 7",0.5449,0.4551,0
"spot 8",0.1947,0.6154,0.1899
"spot 9",0.3667,0.6333,0
"spot 10",0.2416,0.7243,0.0342
"spot 11",0.5178,0.4822,0
"spot 12",0.4243,0.5757,0
"spot 13",0.7441,0.2559,0
"spot 14",0.2069,0.7168,0.0763
"spot 15",0.1204,0.8071,0.0725
"spot 16",1,0,0
"spot 17",1,0,0
"spot 18",0.9512,0,0.0488
"spot 19",0.9464,0.0536,0
"spot 20",0.3844,0.6156,0
"spot 21",0.3224,0.6776,0
"spot 22",0.1301,0.681,0.1889
"spot 23",0.2932,0.5008,0.206
"spot 24",0.6502,0.1011,0.2486
"spot 25",0.5771,0.4229,0
"spot 26",0.6014,0.3986,0
"spot 27",0.5716,0.3773,0.0511
"spot 28",0.2016,0.7621,0.0363
"spot 29",0.3965,0.4811,0.1224
"spot 30",0.7364,0.2636,0
"spot 31",0.3457,0.6305,0.0239
"spot 32",0.8188,0.1812,0
"spot 33",0.6928,0.1305,0.1767
"spot 34",0.6339,0.3661,0
"spot 35",0.5422,0.4578,0
"spot 36",0.694,0.306,0
"spot 37",0.3319,0.51,0.1581
"spot 38",0.9274,0.0381,0.0345
"spot 39",0.262,0.5733,0.1647
"spot 40",0.5652,0.4348,0
"spot 41",0.5973,0.3594,0.0433
"spot 42",0.3138,0.4978,0.1884
"spot 43",0.1674,0.6636,0.169
"spot 44",0.7016,0.2984,0
"spot 45",0.9189,0.0811,0
"spot 46",0.1762,0.7288,0.0949
"spot 47",1,0,0
"spot 48",0.2837,0.4663,0.25
"spot 49",0.3999,0.6001,0
"spot 50",0.9535,0.0465,0
"spot 51",0.7037,0.2963,0
"spot 52",1,0,0
"spot 53",0.6106,0.3894,0
"spot 54",0.6984,0.3016,0
"spot 55",0.256,0.744,0
"spot 56",0.363,0.5836,0.0535
"spot 57",0.2841,0.5695,0.1465
"spot 58",0.3361,0.6639,0
"spot 59",0.3492,0.5722,0.0785
"spot 60",0.6712,0.3288,0
"spot 61",0.312,0.6022,0.0858
"spot 62",0.2008,0.6072,0.192
"spot 63",0.6311,0.3689,0
"spot 64",0.3638,0.5619,0.0743
"spot 65",1,0,0
"spot 66",0.78,0.22,0
"spot 67",0.3212,0.5518,0.1271
"spot 68",0.6563,0.3437,0
"spot 69",0.2092,0.5886,0.2022
"spot 70",0.6504,0.3496,0
"spot 71",0.5409,0.4591,0
"spot 72",0.845,0.155,0
"spot 73",0.358,0.642,0
"spot 74",0.7422,0.2578,0
"spot 75",0.7282,0.2718,0
"spot 76",0.2611,0.7144,0.0245
"spot 77",0.4097,0.561,0.0293
"spot 78",0.9246,0,0.0754
"spot 79",0.4187,0.5587,0.0226
"spot 80",0.554,0.3017,0.1444
"spot 81",1,0,0
"spot 82",0.5404,0.3981,0.0615
"spot 83",0.2884,0.5414,0.1702
"spot 84",0.5359,0.4641,0
"spot 85",0.2718,0.6529,0.0753
"spot 86",0.2769,0.6365,0.0866
"spot 87",0.9984,0.0016,0
"spot 88",0.8219,0.1781,0
"spot 89",0.682,0.318,0
"spot 90",0.3635,0.4995,0.137
"spot 91",0.7217,0.2783,0
"spot 92",1,0,0
"spot 93",0.8523,0.1477,0
"spot 94",0.9389,0.0611,0
"spot 95",0.6709,0.3291,0
"spot 96",1,0,0
